TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51135,50,1.000000,2.383814,1.5,20.00000,10.48740,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51137,50,1.000000,33.68910,1.5,20.00000,0.742080,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51139,50,1.000000,0.474307,1.5,20.00000,52.70853,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51141,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51143,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51145,50,1.000000,16.77366,1.5,20.00000,1.490431,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51147,50,1.000000,18.46649,1.5,20.00000,1.353802,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51149,50,1.000000,100.0000,1.5,20.00000,0.059996,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51153,50,1.000000,24.73229,1.5,20.00000,1.010825,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51155,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51157,50,1.000000,65.44200,1.5,20.00000,0.382018,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51159,50,1.000000,100.0000,1.5,20.00000,0.077614,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51161,50,1.000000,0.828316,1.5,20.00000,30.18176,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51163,50,1.000000,71.94501,1.5,20.00000,0.347488,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51165,50,1.000000,0.399458,1.5,20.00000,62.58478,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51167,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51171,50,1.000000,3.620021,1.5,20.00000,6.906037,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51173,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51175,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51177,50,1.000000,60.08203,1.5,20.00000,0.416098,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51179,50,1.000000,27.01391,1.5,20.00000,0.925449,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51181,50,1.000000,100.0000,1.5,20.00000,0.113778,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51183,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51187,50,1.000000,100.0000,1.5,20.00000,0.074922,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51191,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51193,50,1.000000,91.04921,1.5,20.00000,0.274578,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51195,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51197,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51199,50,1.000000,0.377521,1.5,20.00000,66.22155,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51510,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51515,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51520,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51530,50,1.000000,67.11864,1.5,20.00000,0.372473,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51540,50,1.000000,65.74176,1.5,20.00000,0.380276,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51550,50,1.000000,100.0000,1.5,20.00000,0.110505,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51570,50,1.000000,100.0000,1.5,20.00000,0.181629,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51580,50,1.000000,67.84197,1.5,20.00000,0.368502,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51590,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51595,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51600,50,1.000000,70.05283,1.5,20.00000,0.356872,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51610,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51620,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51630,50,1.000000,100.0000,1.5,20.00000,0.093850,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51640,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51650,50,1.000000,44.65530,1.5,20.00000,0.559842,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51660,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51670,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51678,50,1.000000,87.61985,1.5,20.00000,0.285323,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51680,50,1.000000,79.54308,1.5,20.00000,0.314296,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51683,50,1.000000,35.83372,1.5,20.00000,0.697667,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51685,50,1.000000,42.14302,1.5,20.00000,0.593218,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51690,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51700,50,1.000000,85.20193,1.5,20.00000,0.293422,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
