LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON
 F51125,0.21872,0.66351,0.01268,0.17316,0.22279,4.36887,2.89495,0.01535,0.01896,0.053,0.07681,0.02084,0.03132,0.78859,0.84013
 A51009,0.09613,0.88188,0.00265,0.17243,0.03866,4.89138,3.01125,0.01036,0.03164,0.04497,0.08117,0.00178,0.23277,0.59853,0.84639
 B51009,0.16188,0.59628,0.00332,0.16778,0.1559,3.65455,2.11143,0.02381,0.03234,0.0309,0.06079,0.00744,0.27123,0.57535,0.85445
 F51009,0.17455,0.71449,0.00315,0.19404,0.09297,4.39676,2.63178,0.01689,0.03098,0.03919,0.07601,0.00362,0.24265,0.59202,0.84782
 A51540,0.27463,0.45416,0.00508,0.2258,0.15337,4.15915,2.4421,0.01991,0.01787,0.04749,0.07152,0.01208,0.18346,0.65463,0.85846
 F51540,0.17207,0.23541,0.00492,0.17621,0.34146,6.10874,2.44754,0.03112,0.0207,0.0318,0.06784,0.03516,0.20636,0.61885,0.86032
 A51031,0.62223,0.52131,0.00327,0.14579,0.1347,4.39365,1.96954,0.0803,0.01347,0.00292,0.07659,0.01764,0.12345,0.65829,0.81701
 A51023,0.58996,0.43787,0.00709,0.15135,0.15498,3.40335,2.18836,0.07845,0.01998,0.00131,0.07789,0.05238,0.02437,0.76927,0.84535
 A51163,0.4729,0.61452,0.00939,0.16709,0.11518,3.6096,3.25589,0.04861,0.02552,0.01803,0.08119,0.02058,0.03568,0.80557,0.86171
 F51023,0.77988,0.43856,0.00825,0.16399,0.204,3.44712,2.12786,0.08759,0.01864,0.00045,0.08532,0.06241,0.02356,0.76071,0.84348
 F51163,0.82905,0.63739,0.009,0.17012,0.19979,4.19644,2.9978,0.082,0.02958,0.00127,0.07693,0.04181,0.04067,0.77891,0.86315
 A51161,0.24744,0.42982,0.00562,0.17191,0.06854,3.03404,3.34654,0.13284,0.07357,0.00019,0.10005,0.01599,0.07483,1.00518,1.08712
 F51161,0.6322,0.37027,0.00623,0.16897,0.17522,2.54768,1.07471,0.45704,0.08108,0.00055,0.10304,0.0435,0.08584,0.96775,1.08952
