TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51153,50,1.000000,25.03459,1.5,20.00000,0.998619,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51155,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51157,50,1.000000,65.43669,1.5,20.00000,0.382049,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51159,50,1.000000,100.0000,1.5,20.00000,0.083350,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51161,50,1.000000,0.796753,1.5,20.00000,31.37739,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51163,50,1.000000,71.84135,1.5,20.00000,0.347989,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51165,50,1.000000,0.409284,1.5,20.00000,61.08221,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51167,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51171,50,1.000000,3.643232,1.5,20.00000,6.862037,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51173,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51175,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51177,50,1.000000,60.01721,1.5,20.00000,0.416547,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51179,50,1.000000,27.01235,1.5,20.00000,0.925503,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51181,50,1.000000,100.0000,1.5,20.00000,0.120020,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51183,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51187,50,1.000000,100.0000,1.5,20.00000,0.082936,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51191,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51193,50,1.000000,90.75227,1.5,20.00000,0.275476,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51195,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51197,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51199,50,1.000000,0.376774,1.5,20.00000,66.35291,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51510,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51515,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51520,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51530,50,1.000000,67.21255,1.5,20.00000,0.371953,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51540,50,1.000000,65.31151,1.5,20.00000,0.382781,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51550,50,1.000000,100.0000,1.5,20.00000,0.117922,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51570,50,1.000000,100.0000,1.5,20.00000,0.186010,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51580,50,1.000000,67.72987,1.5,20.00000,0.369112,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51590,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51595,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51600,50,1.000000,69.48648,1.5,20.00000,0.359781,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51610,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51620,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51630,50,1.000000,100.0000,1.5,20.00000,0.101568,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51640,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51650,50,1.000000,44.63512,1.5,20.00000,0.560095,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51660,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51670,50,1.000000,100.0000,1.5,20.00000,0.012153,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51678,50,1.000000,87.22635,1.5,20.00000,0.286610,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
