TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A51036,0.400000,1,0.03,0.3,0,50,253.4405,5,0.5,2,0,550,90.52850,5,1,8,0,300,4.714500,6,0.5,1,0,100,0,0,0,0,na,na
A51037,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51041,0.128000,1,0.03,0.3,0,50,109.2910,5,0.5,2,0,550,95.22400,5,1,8,0,300,6.345500,6,0.5,1,0,100,0,0,0,0,na,na
A51043,0.655000,1,0.03,0.3,0,50,419.1670,5,0.5,2,0,550,145.1615,5,1,8,0,300,7.893500,6,0.5,1,0,100,0,0,0,0,na,na
A51045,0.235000,1,0.03,0.3,0,50,341.2355,5,0.5,2,0,550,107.0485,5,1,8,0,300,6.813500,6,0.5,1,0,100,0,0,0,0,na,na
A51047,0.254500,1,0.03,0.3,0,50,110.6335,5,0.5,2,0,550,96.02200,5,1,8,0,300,3.687000,6,0.5,1,0,100,0,0,0,0,na,na
A51049,0.359000,1,0.03,0.3,0,50,245.9070,5,0.5,2,0,550,7.788000,5,1,8,0,300,0.347500,6,0.5,1,0,100,0,0,0,0,na,na
A51051,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51053,0.220000,1,0.03,0.3,0,50,41.41550,5,0.5,2,0,550,91.34000,5,1,8,0,300,1.231500,6,0.5,1,0,100,0,0,0,0,na,na
A51057,0.466500,1,0.03,0.3,0,50,45.69750,5,0.5,2,0,550,295.3970,5,1,8,0,300,10.16150,6,0.5,1,0,100,0,0,0,0,na,na
A51059,0.224500,1,0.03,0.3,0,50,114.3360,5,0.5,2,0,550,98.60400,5,1,8,0,300,4.567500,6,0.5,1,0,100,0,0,0,0,na,na
A51061,0.177500,1,0.03,0.3,0,50,407.8775,5,0.5,2,0,550,74.83700,5,1,8,0,300,3.829500,6,0.5,1,0,100,0,0,0,0,na,na
A51063,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51065,0.317000,1,0.03,0.3,0,50,121.3515,5,0.5,2,0,550,94.47250,5,1,8,0,300,4.297500,6,0.5,1,0,100,0,0,0,0,na,na
A51067,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
