river,cal5 name  ***
SJ2_2580_2500,"AUGHWICK CREEK NEAR THREE SPRINGS, PA"
SJ2_2820_2740,DUNNING CR
SJ2_2900_2740,JUNIATA R  RAYSTOWN BR
SJ3_1980_2060,LITTLE JUNIATA R
SJ3_2040_1980,"LITTLE JUNIATA RIVER AT SPRUCE CREEK, PA"
SJ3_2160_2170,TUSCARORA CR
SJ3_2170_1970,TUSCARORA CR
SJ3_2230_2060,JUNIATA R  FRANKSTOWN BR
SJ3_2250_2230,"FRANKSTOWN BR JUNIATA RIVER AT WILLIAMSBURG, PA"
SJ3_2450_2120,AUGHWICK CR
SJ4_2010_2210,JUNIATA R
SJ4_2060_2010,"JUNIATA RIVER AT HUNTINGDON, PA"
SJ4_2340_2210,JUNIATA R  RAYSTOWN BR
SJ4_2360_2340,"RAYS BR JUNIATA R BLW RAYS DAM NR HUNTINGDON, PA."
SJ4_2660_2360,"RAYSTOWN BRANCH JUNIATA RIVER AT SAXTON, PA"
SJ4_2740_2660,JUNIATA R  RAYSTOWN BR
SJ5_2120_1930,JUNIATA R
SJ5_2210_2320,"JUNIATA RIVER AT MAPLETON DEPOT, PA"
SJ5_2320_2120,JUNIATA R
SJ6_1930_1970,JUNIATA R
SJ6_1970_2130,JUNIATA R
SJ6_2130_0003,"JUNIATA RIVER AT NEWPORT, PA"
SJ6_2130_2050,JUNIATA R
SL0_2180_2220,"QUITTAPAHILLA CREEK NEAR BELLEGROVE, PA"
SL0_2220_2140,QUITTAPAHILLA CR
SL0_2721_2720,BROAD CR
SL0_2831_2830,LAKE MURBURG DAM
SL1_1700_1780,SHAMOKIN CR
SL1_1730_1700,"SHAMOKIN CREEK NEAR SHAMOKIN, PA"
SL1_1790_1840,MIDDLE CR
SL1_2000_2090,LITTLE SWATARA CR
SL1_2190_2350,COCALICO CR
SL1_2390_2420,"MILL CREEK AT ESHELMAN MILL ROAD NEAR LYNDON, PA"
SL1_2670_2370,BRANCH CR
SL1_2760_2730,YORK INDIAN ROCK DAM
SL1_2770_2730,"SOUTH BRANCH CODORUS CREEK NEAR YORK, PA"
SL1_2830_2760,"CODORUS CREEK AT SPRING GROVE, PA"
SL2_1670_1880,MAHANOY CR
SL2_1810_2030,"EAST MAHANTANGO CREEK NEAR DALMATIA, PA"
SL2_1850_1990,"SWATARA CREEK NEAR PINE GROVE, PA"
SL2_1990_2070,"SWATARA CREEK NEAR INWOOD, PA"
SL2_2070_2090,SWATARA CR
SL2_2200_2350,CONESTOGA CR
SL2_2300_2520,CHICKENS CR
SL2_2410_2700,PEQUEA CR
SL2_2480_0001,OCTORARO CR
SL2_2540_2370,CONODOGUINET CR
SL2_2750_2720,MUDDY CR
SL2_2910_3060,"DEER CREEK AT ROCKS, MD"
SL2_3060_0001,DEER CR
SL3_1710_1740,"PENNS CREEK AT PENNS CREEK, PA"
SL3_1740_1840,PENNS CR
SL3_1840_1880,MIDDLE CR
SL3_1960_2080,WICONISCO CR
SL3_2260_2050,SHERMAN CR
SL3_2290_2260,"SHERMAN CREEK AT SHERMANS DALE, PA"
SL3_2350_2470,"CONESTOGA RIVER AT LANCASTER, PA"
SL3_2400_2440,"YELLOW BREECHES CREEK NEAR CAMP HILL, PA"
SL3_2420_2700,"CONESTOGA RIVER AT CONESTOGA, PA"
SL3_2440_2380,YELLOW BREECHES CR
SL3_2460_2430,"WEST CONEWAGO CREEK NEAR MANCHESTER, PA"
SL3_2470_2420,CONESTOGA CR
SL3_2550_2490,CODORUS CR
SL3_2730_2550,"CODORUS CREEK NEAR YORK, PA"
SL4_2090_2100,"SWATARA CREEK AT HARPER TAVERN, PA"
SL4_2100_2140,SWATARA CR
SL4_2140_2240,"SWATARA CREEK NEAR HERSHEY, PA"
SL4_2240_2310,SWATARA CR
SL4_2330_2270,CONODOGUINET CR
SL4_2370_2330,"CONODOGUINET CREEK NEAR HOGESTOWN, PA"
SL8_1760_1780,"SUSQUEHANNA RIVER AT SUNBURY, PA"
SL8_1780_1880,SUSQUEHANNA R
SL8_1880_2030,SUSQUEHANNA R
SL8_2030_2080,SUSQUEHANNA R
SL8_2080_2050,SUSQUEHANNA R
SL9_2050_2270,SUSQUEHANNA R
SL9_2270_0003,"SUSQUEHANNA RIVER AT HARRISBURG, PA"
SL9_2270_2380,SUSQUEHANNA R
SL9_2310_2430,SUSQUEHANNA R
SL9_2380_2310,SUSQUEHANNA R
SL9_2430_2490,SUSQUEHANNA R
SL9_2490_2520,"SUSQUEHANNA RIVER AT MARIETTA, PA"
SL9_2520_2700,SAFE HARBOR DAM
SL9_2700_2720,HOLTWOOD DAM
SL9_2720_0001,"SUSQUEHANNA RIVER AT CONOWINGO, MD"
SU1_0050_0090,SANGERFIELD R
SU1_0060_0190,WHARTON CR
SU1_0080_0210,BUTTERNUT CREEK AT MORRIS NY
SU1_0200_0270,CANASAWACTA CR
SU1_0330_0560,OWEGO CR  E BR
SU1_0380_0400,UNKNOWN
SU1_0390_0560,OWEGO CR  W BR
SU1_0410_0480,WYLIE CR
SU1_0660_0710,TUNKHANNOCK CR
SU1_0820_0740,"COWANESQUE RIVER AT WESTFIELD, PA"
SU1_0840_0831,HAMMOND DAM
SU1_0940_0900,SCHRADER CR
SU1_1480_1500,BLACK CR
SU1_1630_1610,ROARING CR
SU2_0020_0140,OAKS CREEK AT INDEX NY
SU2_0030_0140,OTSEGO LAKE DAM
SU2_0040_0180,CHERRY VALLEY CR
