 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
PS3_6161_6280,p53_1985                 , 0.53116E+08, 0.46522E+08, 0.62412E+07, 0.57247E+05, 0.29583E+06,p53cal                   , 0.53465E+08, 0.45478E+08, 0.76391E+07, 0.68646E+05, 0.27873E+06
SU2_0760_0960,p53_1985                 , 0.19476E+08, 0.15133E+08, 0.41731E+05, 0.31607E+06, 0.39851E+07,p53cal                   , 0.16693E+08, 0.12778E+08, 0.43382E+05, 0.33126E+06, 0.35409E+07
PU1_3030_3440,p53_1985                 , 0.16784E+08, 0.16082E+08, 0.20033E+06, 0.18395E+06, 0.31753E+06,p53cal                   , 0.15938E+08, 0.15154E+08, 0.29530E+06, 0.19288E+06, 0.29596E+06
JL2_7240_7350,p53_1985                 , 0.11005E+08, 0.89499E+07, 0.14764E+06, 0.29191E+06, 0.16156E+07,p53cal                   , 0.11055E+08, 0.86544E+07, 0.20064E+06, 0.31002E+06, 0.18903E+07
SW1_1910_1890,p53_1985                 , 0.11307E+08, 0.10416E+08, 0.73899E+04, 0.61263E+06, 0.27013E+06,p53cal                   , 0.10500E+08, 0.95760E+07, 0.35749E+05, 0.64167E+06, 0.24686E+06
SJ4_2060_2010,p53_1985                 , 0.95702E+08, 0.92953E+08, 0.00000E+00, 0.15677E+06, 0.25919E+07,p53cal                   , 0.94766E+08, 0.92258E+08, 0.16309E+05, 0.15527E+06, 0.23360E+07
SU2_0700_0860,p53_1985                 , 0.30259E+08, 0.23385E+08, 0.10697E+07, 0.52502E+06, 0.52796E+07,p53cal                   , 0.27101E+08, 0.20725E+08, 0.10969E+07, 0.53284E+06, 0.47461E+07
PU0_3611_3530,p53_1985                 , 0.34135E+07, 0.30859E+07, 0.00000E+00, 0.81113E+05, 0.24650E+06,p53cal                   , 0.34025E+07, 0.28982E+07, 0.19762E+06, 0.83394E+05, 0.22328E+06
SW2_1050_0930,p53_1985                 , 0.36407E+07, 0.35506E+07, 0.45391E+05, 0.10118E+05, 0.34612E+05,p53cal                   , 0.34865E+07, 0.33987E+07, 0.45554E+05, 0.10763E+05, 0.31551E+05
JL1_7080_7190,p53_1985                 , 0.26556E+07, 0.23550E+07, 0.62224E+05, 0.40191E+05, 0.19822E+06,p53cal                   , 0.25382E+07, 0.22502E+07, 0.62224E+05, 0.41242E+05, 0.18456E+06
PU2_4340_3860,p53_1985                 , 0.24909E+08, 0.23115E+08, 0.62637E+03, 0.27878E+06, 0.15140E+07,p53cal                   , 0.23883E+08, 0.22189E+08, 0.66658E+03, 0.32544E+06, 0.13685E+07
SJ4_2010_2210,p53_1985                 , 0.76291E+08, 0.72150E+08, 0.15455E+07, 0.50982E+06, 0.20856E+07,p53cal                   , 0.70452E+08, 0.66029E+08, 0.20779E+07, 0.47156E+06, 0.18733E+07
JU2_7180_7380,p53_1985                 , 0.92567E+07, 0.82157E+07, 0.55001E+06, 0.18139E+06, 0.30960E+06,p53cal                   , 0.90226E+07, 0.80584E+07, 0.47889E+06, 0.19362E+06, 0.29171E+06
PS3_6280_6230,p53_1985                 , 0.63049E+08, 0.61237E+08, 0.49010E+06, 0.16023E+06, 0.11609E+07,p53cal                   , 0.64092E+08, 0.62343E+08, 0.48293E+06, 0.17074E+06, 0.10950E+07
SW3_1600_1580,p53_1985                 , 0.72635E+07, 0.71541E+07, 0.00000E+00, 0.54230E+05, 0.55129E+05,p53cal                   , 0.69654E+07, 0.68285E+07, 0.33831E+05, 0.53629E+05, 0.49448E+05
SU3_0710_0910,p53_1985                 , 0.48293E+08, 0.34497E+08, 0.82314E+06, 0.11141E+07, 0.11859E+08,p53cal                   , 0.42639E+08, 0.30114E+08, 0.84372E+06, 0.11265E+07, 0.10555E+08
PU0_3871_3690,p53_1985                 , 0.48275E+07, 0.47169E+07, 0.96410E+04, 0.52236E+05, 0.48754E+05,p53cal                   , 0.46315E+07, 0.45239E+07, 0.64887E+04, 0.57339E+05, 0.43809E+05
SJ2_2820_2740,p53_1985                 , 0.17647E+08, 0.17513E+08, 0.00000E+00, 0.58956E+05, 0.74825E+05,p53cal                   , 0.16554E+08, 0.16426E+08, 0.00000E+00, 0.59964E+05, 0.68289E+05
SW3_1090_1091,p53_1985                 , 0.12649E+08, 0.12189E+08, 0.48748E+05, 0.71585E+05, 0.33945E+06,p53cal                   , 0.12002E+08, 0.11570E+08, 0.48748E+05, 0.74639E+05, 0.30840E+06
JL1_7200_7250,p53_1985                 , 0.52306E+07, 0.47332E+07, 0.13345E+06, 0.39856E+05, 0.32413E+06,p53cal                   , 0.47966E+07, 0.43113E+07, 0.14159E+06, 0.40257E+05, 0.30344E+06
PU3_4280_3860,p53_1985                 , 0.47332E+08, 0.43423E+08, 0.13128E+06, 0.36141E+06, 0.34165E+07,p53cal                   , 0.45874E+08, 0.42087E+08, 0.25529E+06, 0.40312E+06, 0.31279E+07
PS4_6230_6360,p53_1985                 , 0.89849E+08, 0.88457E+08, 0.35072E+04, 0.15900E+06, 0.12296E+07,p53cal                   , 0.91851E+08, 0.90511E+08, 0.36485E+04, 0.17771E+06, 0.11590E+07
SU3_0910_1010,p53_1985                 , 0.27472E+08, 0.24826E+08, 0.31480E+06, 0.17143E+06, 0.21600E+07,p53cal                   , 0.24301E+08, 0.21874E+08, 0.35471E+06, 0.17524E+06, 0.18975E+07
SW2_1770_1690,p53_1985                 , 0.94868E+07, 0.81956E+07, 0.32102E+04, 0.24428E+06, 0.10437E+07,p53cal                   , 0.90285E+07, 0.77752E+07, 0.50453E+05, 0.26056E+06, 0.94225E+06
