TABLE->,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4
VARS->,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP
F42009,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42011,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42013,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42021,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42027,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42033,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42035,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42041,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42043,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42055,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42061,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
