TABLE->,OX-FLAGS,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-CFOREA,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-INIT,OX-INIT,OX-INIT
VARS->,REAM,KBOD20,TCBOD,KODSET,SUPSAT,BENOD,TCBEN,EXPOD,BRBOD1,BRBOD2,EXPREL,CFOREA,TCGINV,REAK,EXPRED,EXPREV,DOX,BOD,SATDO
OR1_8280_8020,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
OD2_8840_9020,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OD3_9020_9110,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OR2_8020_8130,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
OR2_8130_7900,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
OR2_7900_7740,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
OD3_8931_9140,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OD4_9110_9140,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OD4_9140_8990,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OR3_7740_8271,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
OR4_8271_8120,na,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
OR4_8120_7890,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
OR5_7890_7970,3,0.05,1.047,0.01,1.016537,37.68702,1.047,1.22,0.01,0.01,1,na,1.047,0.063901,-1.673,0.969,14,3,14
