TABLE->,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM3,IWAT-PARM3
VARS->,CSNO,RTOP,VRS,VNN,RTLI,LSUR,SLSUR,NSUR,RETSC,PETMAX,PETMIN
B51071,1,1,0,0,0,209,0.138,0.08,0.1,40,35
B51077,1,1,0,0,0,264,0.084,0.08,0.1,40,35
B51079,1,1,0,0,0,212,0.134,0.08,0.1,40,35
B51091,1,1,0,0,0,240,0.104,0.08,0.1,40,35
B51105,1,1,0,0,0,212,0.135,0.08,0.1,40,35
B51113,1,1,0,0,0,241,0.103,0.08,0.1,40,35
B51125,1,1,0,0,0,205,0.143,0.08,0.1,40,35
B51139,1,1,0,0,0,214,0.132,0.08,0.1,40,35
B51141,1,1,0,0,0,126,0.294,0.08,0.1,40,35
B51157,1,1,0,0,0,220,0.125,0.08,0.1,40,35
B51161,1,1,0,0,0,208,0.139,0.08,0.1,40,35
B51163,1,1,0,0,0,248,0.097,0.08,0.1,40,35
B51165,1,1,0,0,0,242,0.103,0.08,0.1,40,35
B51167,1,1,0,0,0,212,0.135,0.08,0.1,40,35
B51169,1,1,0,0,0,212,0.135,0.08,0.1,40,35
B51171,1,1,0,0,0,216,0.129,0.08,0.1,40,35
B51173,1,1,0,0,0,191,0.163,0.08,0.1,40,35
B51185,1,1,0,0,0,203,0.146,0.08,0.1,40,35
B51187,1,1,0,0,0,192,0.161,0.08,0.1,40,35
B51191,1,1,0,0,0,212,0.135,0.08,0.1,40,35
B51195,1,1,0,0,0,203,0.146,0.08,0.1,40,35
B51197,1,1,0,0,0,125,0.294,0.08,0.1,40,35
B54023,1,1,0,0,0,252,0.094,0.08,0.1,40,35
B54031,1,1,0,0,0,262,0.086,0.08,0.1,40,35
B54057,1,1,0,0,0,227,0.118,0.08,0.1,40,35
B54071,1,1,0,0,0,193,0.16,0.08,0.1,40,35
C42009,1,1,0,0,0,235,0.109,0.08,0.1,40,35
C51015,1,1,0,0,0,256,0.09,0.08,0.1,40,35
C51071,1,1,0,0,0,211,0.136,0.08,0.1,40,35
C51165,1,1,0,0,0,215,0.131,0.08,0.1,40,35
F10005,1,1,0,0,0,665,0.002,0.08,0.1,40,35
F11001,1,1,0,0,0,326,0.048,0.08,0.1,40,35
F24001,1,1,0,0,0,274,0.077,0.08,0.1,40,35
F24003,1,1,0,0,0,366,0.034,0.08,0.1,40,35
F24005,1,1,0,0,0,331,0.046,0.08,0.1,40,35
F24009,1,1,0,0,0,340,0.042,0.08,0.1,40,35
F24013,1,1,0,0,0,318,0.052,0.08,0.1,40,35
F24015,1,1,0,0,0,311,0.055,0.08,0.1,40,35
F24017,1,1,0,0,0,309,0.056,0.08,0.1,40,35
F24019,1,1,0,0,0,630,0.003,0.08,0.1,40,35
F24021,1,1,0,0,0,349,0.039,0.08,0.1,40,35
F24023,1,1,0,0,0,128,0.288,0.08,0.1,40,35
F24025,1,1,0,0,0,503,0.01,0.08,0.1,40,35
F24027,1,1,0,0,0,426,0.02,0.08,0.1,40,35
F24029,1,1,0,0,0,591,0.004,0.08,0.1,40,35
F24031,1,1,0,0,0,310,0.056,0.08,0.1,40,35
F24033,1,1,0,0,0,364,0.034,0.08,0.1,40,35
F24035,1,1,0,0,0,624,0.003,0.08,0.1,40,35
F24037,1,1,0,0,0,457,0.015,0.08,0.1,40,35
F24039,1,1,0,0,0,551,0.006,0.08,0.1,40,35
F24041,1,1,0,0,0,510,0.009,0.08,0.1,40,35
F24043,1,1,0,0,0,233,0.111,0.08,0.1,40,35
F24045,1,1,0,0,0,607,0.004,0.08,0.1,40,35
F24510,1,1,0,0,0,373,0.032,0.08,0.1,40,35
F36003,1,1,0,0,0,189,0.166,0.08,0.1,40,35
F36007,1,1,0,0,0,242,0.102,0.08,0.1,40,35
F36015,1,1,0,0,0,409,0.023,0.08,0.1,40,35
F36025,1,1,0,0,0,233,0.112,0.08,0.1,40,35
F36101,1,1,0,0,0,276,0.075,0.08,0.1,40,35
F42001,1,1,0,0,0,347,0.04,0.08,0.1,40,35
F42009,1,1,0,0,0,288,0.068,0.08,0.1,40,35
F42011,1,1,0,0,0,265,0.083,0.08,0.1,40,35
F42013,1,1,0,0,0,224,0.121,0.08,0.1,40,35
