TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
SU1_0330_0560,0,na,na,1189,0408,0.10,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0390_0560,0,na,na,1064,0284,0.10,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0820_0740,0,na,na,1630,-0324,0.10,12.18750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0510_0570,0,na,na,1161,-0033,0.20,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0110_0240,0,na,na,1240,0259,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0410_0480,0,na,na,1140,0159,0.10,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0560_0590,0,na,na,0841,0061,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0590_0540,0,na,na,0799,0018,0.30,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0620_0580,0,na,na,1551,0292,0.20,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0840_0831,0,na,na,1361,-0364,0.10,12.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0740_0741,0,na,na,1184,-0541,0.20,12.18750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0280_0430,0,na,na,1223,0243,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0120_0260,0,na,na,1320,0238,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0360_0460,0,na,na,1015,0034,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0240_0350,0,na,na,0941,-0141,0.85,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0570_0580,0,na,na,1118,-0141,0.20,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0580_0630,0,na,na,1041,-0218,0.40,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0920_0830,0,na,na,1615,-0110,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
