riverseg,landseg,landuse,nutrient,loadingrate
EL0_6191_0000,A51001,afo,sedm,0.38
EL0_6610_0000,A51001,afo,sedm,0.38
EL0_7060_0000,A51131,cfo,sedm,0
EL1_5660_0000,A24047,afo,sedm,2.5699999
EL2_4400_4590,A10001,cfo,sedm,0
EL2_4590_0001,A10005,cfo,sedm,0
EL2_4634_0000,A24019,afo,sedm,0.75999999
EL2_5270_0001,A24047,cfo,sedm,0
EM0_4324_0000,A24041,afo,sedm,0.28999999
EM0_4551_0000,A24041,cfo,sedm,0
EM0_4874_0000,A24041,afo,sedm,0.28999999
EM0_4884_0000,A24019,afo,sedm,0.75999999
EM2_3980_0001,A24011,afo,sedm,0.38
EM2_4101_0000,F24035,afo,sedm,1.52
EM3_4321_0000,A24011,cfo,sedm,0
EM3_4326_0000,A10001,cfo,sedm,0
EU0_3010_0000,A10003,afo,sedm,7.5999999
EU0_3130_0000,F24015,afo,sedm,4.6599998
EU0_3360_0000,A24029,cfo,sedm,0
EU0_3361_0000,A10003,cfo,sedm,0
EU0_3572_0000,A24029,afo,sedm,12.07
EU0_4010_0000,A24029,cfo,sedm,0
EU0_4014_0000,A24029,afo,sedm,12.07
EU0_4120_0000,A24035,cfo,sedm,0
EU0_4123_0000,F24029,afo,sedm,12.07
EU0_4124_0000,A24035,afo,sedm,1.52
EU0_4125_0000,A24029,cfo,sedm,0
EU0_4872_0000,A24035,afo,sedm,1.52
EU1_2810_0001,A42029,cfo,sedm,0
GY0_3952_0000,A54077,cfo,sedm,0
GY0_4530_4532,A24023,afo,sedm,5.4200001
JA1_7600_7570,A51135,cfo,sedm,0
JA1_7640_7280,A51147,afo,sedm,9.2200003
JA2_7290_0001,A51570,afo,sedm,0
JA2_7550_7280,F51147,afo,sedm,9.2200003
JA2_7570_7480,A51135,afo,sedm,7.2199998
JA4_7280_7340,A51147,afo,sedm,9.2200003
JA4_7470_7480,A51041,afo,sedm,2.6600001
JA5_7480_0001,A51135,afo,sedm,7.2199998
JB0_7071_0000,A51041,afo,sedm,2.6600001
JB0_7074_0000,A51036,afo,sedm,1.8099999
JB0_7270_0000,A51181,cfo,sedm,0
JB0_7390_0000,A51181,afo,sedm,2.47
JB0_7390_0000,F51095,cfo,sedm,0
JB0_7390_0000,F51700,cfo,sedm,0
JB0_7660_0000,A51810,cfo,sedm,0
JB0_7661_0000,A51810,afo,sedm,0.86000001
JB0_7662_0000,A51810,afo,sedm,0
JB0_7760_0000,A51800,afo,sedm,0.56999999
JB0_7760_0000,F51800,afo,sedm,0.56999999
JB1_8090_0001,A51093,afo,sedm,0.47999999
JB1_8090_0001,F51800,afo,sedm,0
JB2_7800_0001,A51800,afo,sedm,0.56999999
JB3_6820_7053,F51087,cfo,sedm,0
JL1_6560_6440,F51003,cfo,sedm,0
JL1_6760_6910,A51065,cfo,sedm,0
JL1_6940_7200,B51125,afo,sedm,22.23
JL1_7080_7190,F51125,afo,sedm,22.23
JL1_7170_6800,A51145,cfo,sedm,0
JL1_7200_7250,A51125,afo,sedm,22.23
JL1_7530_7430,A51031,cfo,sedm,0
JL2_6240_6520,A51003,cfo,sedm,0
JL2_6240_6520,B51079,afo,sedm,11.78
JL2_6240_6520,F51079,afo,sedm,11.78
JL2_6440_6441,F51003,afo,sedm,27.08
JL2_7110_7120,A51029,afo,sedm,18.719999
JL2_7240_7350,F51009,afo,sedm,32.779999
JL2_7250_7090,A51009,afo,sedm,32.779999
JL4_6520_6710,A51003,afo,sedm,27.08
JL4_6520_6710,F51003,cfo,sedm,0
JL4_6710_6740,A51065,cfo,sedm,0
JL6_6740_7100,A51075,afo,sedm,4.75
JL6_6740_7100,A51109,afo,sedm,2.5699999
JL6_6890_6990,A51029,cfo,sedm,0
JL6_6970_6740,A51049,afo,sedm,9.79
JL6_6990_6960,A51065,afo,sedm,6.27
JL6_7160_7440,B51019,afo,sedm,43.130001
JL6_7440_7430,A51011,afo,sedm,17.389999
JL7_7070_0001,F51760,cfo,sedm,0
JL7_7100_7030,A51075,cfo,sedm,0
JU1_6290_6590,A51091,afo,sedm,52.25
JU1_6340_6650,B51091,cfo,sedm,0
JU1_7560_7500,A51023,afo,sedm,65.080002
JU1_7630_7490,F51071,cfo,sedm,0
JU1_7690_7490,A51121,cfo,sedm,0
JU1_7750_7560,F51161,cfo,sedm,0
JU2_6810_6900,A51017,afo,sedm,14.35
JU2_6810_6900,F51017,afo,sedm,14.35
JU2_7140_7330,A54063,cfo,sedm,0
JU2_7180_7380,F51163,cfo,sedm,0
JU2_7450_7360,A51005,afo,sedm,14.63
JU2_7450_7360,A54063,cfo,sedm,0
JU3_6380_6900,F51017,cfo,sedm,0
JU3_6950_7330,F51580,cfo,sedm,0
JU4_7260_7380,A51530,afo,sedm,0
JU4_7260_7380,B51163,afo,sedm,0
JU5_7420_7160,B51023,afo,sedm,65.080002
JU5_7500_7420,A51023,afo,sedm,65.080002
MN1_7620_7710,A51053,afo,sedm,12.26
MN1_7620_7710,A51730,cfo,sedm,0
MN1_7990_8100,A51037,afo,sedm,12.64
MN2_7720_7830,A51135,afo,sedm,7.2199998
MN2_7850_0000,A51810,afo,sedm,0.86000001
MN2_7850_0000,A51810,cfo,sedm,0
MN3_7540_7680,A51730,afo,sedm,0
MN3_7680_7860,A51181,cfo,sedm,0
MN3_7770_7930,A51147,afo,sedm,9.2200003
MN4_7710_8161,A51149,afo,sedm,6.0799999
