TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51570,50,1.000000,2.665140,1.5,20.00000,9.380371,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51580,50,1.000000,8.239319,1.5,20.00000,3.034232,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51590,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51595,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51600,50,1.000000,5.722255,1.5,20.00000,4.368907,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51610,50,1.000000,71.09491,1.5,20.00000,0.351643,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51620,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51630,50,1.000000,3.890352,1.5,20.00000,6.426155,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51640,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51650,50,1.000000,2.441862,1.5,20.00000,10.23809,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51660,50,1.000000,17.61289,1.5,20.00000,1.419415,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51670,50,1.000000,2.870756,1.5,20.00000,8.708508,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51678,50,1.000000,1.815647,1.5,20.00000,13.76919,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51680,50,1.000000,10.52853,1.5,20.00000,2.374501,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51683,50,1.000000,3.106489,1.5,20.00000,8.047670,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51685,50,1.000000,3.519350,1.5,20.00000,7.103585,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51690,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51700,50,1.000000,1.767131,1.5,20.00000,14.14723,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
