TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
SL8_1760_1780,1,1,8.815973,0.003056
SL8_1780_1880,1,1,40.36964,0.117387
SL8_1880_2030,1,1,40.36964,0.117387
SL8_2030_2080,1,1,40.36964,0.117387
SL8_2080_2050,1,1,40.36964,0.117387
SL9_2050_2270,1,1,40.36964,0.117387
SL9_2270_2380,1,1,6.547799,0.010311
SL9_2380_2310,1,1,6.547799,0.010311
SL9_2310_2430,1,1,6.547799,0.010311
SL9_2430_2490,1,1,6.547799,0.010311
SL9_2490_2520,1,1,6.547799,0.010311
SL9_2520_2700,1,1,6.211452,0.001000
SL9_2700_2720,1,1,6.211452,0.001000
SL9_2720_0001,1,1,6.211452,0.001000
DE0_3791_0001,1,1,5.000000,2.000000
DE0_4141_0001,1,1,5.000000,2.000000
DE0_4231_0001,1,1,5.000000,2.000000
EL0_5400_0001,1,1,5.000000,1.600000
EL1_5150_0001,1,1,5.000000,2.000000
EL1_5570_0001,1,1,5.000000,2.000000
EL1_6000_0001,1,1,5.000000,2.000000
EL2_4400_4590,1,1,0.172884,41.45354
EL2_4590_0001,1,1,5.000000,2.000000
EL2_5110_5270,1,1,100.0000,32.17769
EL2_5270_0001,1,1,5.000000,2.000000
EM2_4100_0001,1,1,5.000000,2.000000
EU0_3830_0001,1,1,5.000000,2.000000
EU1_2650_0001,1,1,3.293659,0.053305
EU1_2810_0001,1,1,5.000000,2.000000
EU2_3520_0001,1,1,5.000000,2.000000
JA0_7291_7290,1,1,4.000000,1.600000
JA2_7290_0001,1,1,5.000000,2.000000
JB0_7051_0001,1,1,0.483184,0.028822
JB0_7052_0001,1,1,4.000000,1.024000
JB1_8090_0001,1,1,4.000000,1.600000
JB2_7800_0001,1,1,4.000000,0.524288
JB3_7053_0001,1,1,4.000000,1.600000
PL0_5141_5140,1,1,100.0000,0.018420
PL2_4970_5250,1,1,15.64760,1.534594
PL0_5510_0001,1,1,5.000000,2.000000
PL0_5530_5710,1,1,5.000000,2.000000
PL0_5490_0001,1,1,2.125764,2.000000
PL0_5710_0001,1,1,5.000000,2.000000
PL0_5720_0001,1,1,5.000000,2.000000
PL0_5730_5690,1,1,0.112644,0.032990
PL0_5750_0001,1,1,0.050000,4.225093
PL0_5830_0001,1,1,5.000000,2.000000
PL1_4780_0001,1,1,5.000000,2.000000
PL1_5130_0001,1,1,5.000000,2.000000
PL1_5690_0001,1,1,5.000000,2.000000
PL1_5910_0001,1,1,2.952450,2.000000
PL2_5140_5360,1,1,32.25504,0.010044
PL2_5470_5360,1,1,35.77906,0.010044
PL2_5300_5630,1,1,5.000000,0.001000
PL3_5360_5250,1,1,39.41730,0.010044
PL2_5630_0001,1,1,5.000000,2.000000
PL3_5250_0001,1,1,100.0000,7.502789
RL0_6540_0001,1,1,1.476472,5.159114
RL1_6180_0001,1,1,0.722442,0.003183
SL2_2480_0001,1,1,5.000000,2.000000
SL2_2910_3060,1,1,16.33183,10.96880
SL2_3060_0001,1,1,11.97831,13.31682
WM0_3650_0001,1,1,0.050000,26.63461
WM0_3740_0001,1,1,5.000000,2.000000
WM1_3910_0001,1,1,5.000000,2.000000
WM3_4060_0001,1,1,0.159319,8.961984
WU0_3250_0001,1,1,5.000000,2.000000
WU0_3670_0001,1,1,5.000000,2.000000
WU1_3240_3331,1,1,5.000000,2.000000
WU1_3331_3330,1,1,5.000000,2.000000
WU1_3330_0001,1,1,5.000000,2.000000
WU1_3350_3490,1,1,55.93148,3.725253
WU1_3482_0001,1,1,5.000000,2.000000
WU1_3490_3480,1,1,55.93148,3.725253
WU2_3320_3480,1,1,55.93148,3.725253
WU3_3480_3481,1,1,55.93148,3.725253
WU3_3481_0001,1,1,55.93148,3.725253
YL2_6580_0001,1,1,5.000000,1.280000
YP0_6860_6840,1,1,2.900233,5.419226
YP0_6840_0001,1,1,5.000000,2.000000
PL0_5000_0001,1,1,0.082250,3.241351
PL0_4510_0001,1,1,8.079938,0.258154
JB3_6820_7053,1,1,1.564732,49.33132
EM2_3980_0001,1,1,0.612498,1.036510
EL1_5430_0001,1,1,0.620569,3.680689
EL0_4560_4562,1,1,3.080079,0.693935
EL0_4561_4562,1,1,3.080079,0.693935
EL0_4562_0001,1,1,5.000000,2.000000
WU0_3021_3020,1,1,100.0000,2.886594
WU2_3020_3320,1,1,59.04900,20.48000
WM0_3881_3880,0,0,100.0000,50.00000
WM1_3882_3880,1,1,2.576992,50.00000
WM3_3880_4060,1,1,2.576992,50.00000
WM1_3660_3910,1,1,0.050000,50.00000
PL1_5370_5470,1,1,27.27635,0.001000
PL1_5230_0001,1,1,2.449860,0.900207
PL1_4540_0001,1,1,0.853308,0.411966
PL1_4460_4780,1,1,12.48121,50.00000
PL0_5540_5490,1,1,3.011410,0.001000
PL0_5070_0001,1,1,2.064737,50.00000
PL0_5010_5130,1,1,1.676584,0.001000
XL1_4690_0001,1,1,0.888989,0.065478
XL0_5320_0001,1,1,0.050000,50.00000
JL1_7170_6800,1,1,3.924110,1.315511
JL3_7020_7100,1,1,4.001590,0.589619
JL2_6240_6520,1,1,1.432575,4.465772
JL2_7110_7120,1,1,1.982983,0.120962
JL1_6560_6440,1,1,2.000611,5.729895
JL1_6760_6910,1,1,1.059712,0.113400
JL2_7120_6970,1,1,1.563921,0.828501
JL2_6440_6441,1,1,3.479377,2.833961
JL2_6441_6520,1,1,5.974193,4.054712
JL1_6770_6850,1,1,2.268764,3.671386
JL1_6910_6960,1,1,1.061952,0.615346
JL1_7080_7190,1,1,0.050000,0.001000
JL4_6520_6710,1,1,2.076189,0.293754
JL2_6850_6890,1,1,8.576588,1.557341
JL1_7530_7430,1,1,6.522185,0.058836
JL4_6710_6740,1,1,1.882280,1.370277
JL2_7240_7350,1,1,0.320104,0.611526
JL1_6940_7200,1,1,0.181806,0.008219
JU2_7180_7380,1,1,9.268661,1.076504
JL1_7190_7250,1,1,8.576588,1.557341
JL2_7350_7090,1,1,8.576588,1.557341
JL1_7200_7250,1,1,8.576588,1.557341
JU1_7750_7560,1,1,5.025928,0.187593
JU1_6880_7260,1,1,0.967955,0.002412
JL2_7250_7090,1,1,8.576588,1.557341
JL3_7090_7150,1,1,8.576588,1.557341
JU2_6410_6640,1,1,1.983322,0.001000
JU1_7630_7490,1,1,0.050000,0.001000
JU3_6640_6790,1,1,0.050000,0.001000
JU3_6790_7260,1,1,0.967955,0.002412
JU1_7560_7500,1,1,9.268661,1.076504
JU1_6300_6650,1,1,4.721412,0.759651
JU4_7260_7380,1,1,9.268661,1.076504
JU1_7690_7490,1,1,9.268661,1.076504
JU2_7450_7360,1,1,1.496003,3.511452
JU1_6340_6650,1,1,0.957816,0.020284
JU4_7380_7160,1,1,9.268661,1.076504
JU3_7490_7400,1,1,9.268661,1.076504
JU3_7400_7510,1,1,9.268661,1.076504
JU3_6650_7300,1,1,2.772727,0.029262
JU2_7140_7330,1,1,32.73845,0.162607
JU2_7360_7000,1,1,1.496003,2.982707
JU1_6290_6590,1,1,3.525825,11.22875
JU3_6380_6900,1,1,0.050000,0.001000
JU1_6590_6600,1,1,3.525825,11.22875
JU2_6600_6810,1,1,3.525825,11.22875
JU2_6810_6900,1,1,100.0000,0.566591
JU3_6900_6950,1,1,100.0000,1.727198
JU3_6950_7330,1,1,32.73845,0.181518
JU4_7330_7000,1,1,9.774433,0.776048
JU4_7000_7300,1,1,6.261952,0.776048
JU5_7300_7510,1,1,9.268661,1.076504
JU5_7510_7500,1,1,9.268661,1.076504
JU5_7500_7420,1,1,9.268661,1.076504
JU5_7420_7160,1,1,9.268661,1.076504
JL6_7160_7440,1,1,9.268661,1.076504
JL6_7440_7430,1,1,12.51740,0.048262
JL6_7430_7320,1,1,12.51740,0.048262
JL6_7320_7150,1,1,10.71140,1.557341
JL6_7150_6890,1,1,10.71140,1.557341
JL6_6890_6990,1,1,10.71140,1.557341
JL6_6990_6960,1,1,3.939855,1.792294
JL6_6960_6970,1,1,4.912667,1.792294
JL6_6970_6740,1,1,4.912667,1.792294
JL6_6740_7100,1,1,4.912667,1.792294
JL7_7100_7030,1,1,4.912667,1.792294
JL7_7030_6800,1,1,3.924110,1.315511
JL7_6800_7070,1,1,3.924110,1.315511
JL7_7070_0001,1,1,5.000000,2.000000
PM0_4640_4820,1,1,0.163500,0.004646
PM1_4250_4500,1,1,0.748842,50.00000
PM2_4860_4670,1,1,5.028441,0.001000
PM1_4500_4580,1,1,0.748842,50.00000
PM1_3710_4040,1,1,0.226239,0.018117
PM3_4670_4660,1,1,2.863664,0.001000
PM1_4430_4200,1,1,0.069111,0.001000
PM1_3120_3400,1,1,0.536226,50.00000
PM3_4660_4620,1,1,34.93863,0.040407
PM2_2860_3040,1,1,23.50442,1.075288
PM1_3510_4000,1,1,0.050000,0.001000
PS1_4790_4830,1,1,0.050000,0.001000
PM1_3450_3400,1,1,0.659703,50.00000
PM1_4000_4290,1,1,0.256164,0.001000
PU0_3000_3090,1,1,20.95753,0.006685
PM2_3400_3340,1,1,0.659703,50.00000
PM3_3040_3340,1,1,0.659703,50.00000
PS2_6730_6660,1,1,0.584328,0.001000
PU0_3751_3752,1,1,23.94385,1.843437
PU2_3090_4050,1,1,100.0000,28.85167
PM4_3340_3341,1,1,0.659703,50.00000
PM4_3341_4040,1,1,0.226239,0.335590
PM4_4040_4410,1,1,0.419608,11.83676
PS2_5550_5560,1,1,5.372223,0.001000
PS1_4830_5080,1,1,7.924432,1.935546
PU2_4730_4220,1,1,11.13031,0.046095
PU2_4050_4180,1,1,9.025965,0.012351
PS0_6150_6160,1,1,0.936706,0.306821
PS2_5560_5100,1,1,0.133583,0.026207
PS3_5100_5080,1,1,0.596526,0.033076
PU2_2790_3290,1,1,2.260525,1.559306
PU2_4220_3900,1,1,11.13031,0.046095
PU0_3601_3602,1,1,29.47195,1.843437
PS2_6660_6490,1,1,9.540969,0.001000
PS4_5080_4380,1,1,6.964761,1.935546
PS3_6460_6230,1,1,3.405995,0.148818
PU3_2510_3290,1,1,2.260525,1.559306
PU2_3900_3750,1,1,23.94385,1.843437
PS3_5990_6161,1,1,0.936706,0.306821
PS2_6490_6420,1,1,9.540969,0.001000
PU2_3770_3600,1,1,6.495878,0.870349
PU2_2840_3080,1,1,6.514432,0.689323
PU3_3290_3390,1,1,2.260525,1.559306
PS0_6160_6161,1,1,0.936706,0.306821
PS2_6420_6360,1,1,1.867940,0.966577
PU3_3390_3730,1,1,20.48151,9.340705
PU2_3630_3590,1,1,4.681199,0.509510
PU2_3080_3640,1,1,23.94385,1.843437
PU1_3030_3440,1,1,0.050000,0.001000
PS3_6161_6280,1,1,0.936706,0.306821
PS3_6280_6230,1,1,1.867940,0.966577
PS4_6230_6360,1,1,1.867940,0.966577
PU0_3611_3530,1,1,36.04515,0.001000
PU2_4340_3860,1,1,10.02941,0.467779
PU0_3871_3690,1,1,36.08462,20.48000
PU3_4280_3860,1,1,10.02941,0.683692
PS4_6360_5840,1,1,1.867940,0.966577
PS4_5840_5240,1,1,5.794940,1.457253
PU3_3860_3610,1,1,10.02941,0.989846
PU1_3100_3690,1,1,1.009235,0.001000
PS5_5240_5200,1,1,10.12900,0.466768
PS5_5200_4380,1,1,8.973056,1.935546
PS5_4380_4370,1,1,8.973056,1.935546
PU2_3180_3370,1,1,1.980002,0.001000
PU2_6050_5190,1,1,2.504693,0.001000
PU2_3370_4020,1,1,1.980002,0.001000
PS5_4370_4150,1,1,4.634140,0.832986
PU2_4360_4160,1,1,2.986879,25.73848
PU0_6080_5620,1,1,2.504693,0.349222
PU1_3170_3580,1,1,26.33316,0.171542
PU2_4160_3930,1,1,25.65251,0.001000
PU2_5190_4310,1,1,2.504693,1.469248
PU1_5520_5210,1,1,2.504693,0.349222
PU2_3140_3680,1,1,10.49908,16.14188
PU1_3580_3780,1,1,26.33316,0.171542
PU1_3940_3970,1,1,0.888168,0.234132
PU1_5820_5380,1,1,2.504693,0.349222
PU0_5620_5380,1,1,2.504693,0.349222
PU2_5700_5210,1,1,2.504693,0.349222
PU3_3680_3890,1,1,10.49908,16.14188
PU1_3850_4190,1,1,100.0000,50.00000
PU3_5210_5050,1,1,2.504693,0.349222
PU1_5380_5050,1,1,2.504693,0.349222
PU4_5050_4310,1,1,2.504693,0.349222
PU4_4310_4210,1,1,2.504693,0.349222
PU1_4840_4760,1,1,50.68365,50.00000
PU1_4190_4300,1,1,53.14410,50.00000
PU4_4210_4170,1,1,11.49069,0.001000
