TABLE->,SANDFG,SED-GENPARM,SED-GENPARM,SED-GENPARM,SAND-PM,SAND-PM,SAND-PM,SAND-PM,SAND-PM,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SSED-INIT,SSED-INIT,SSED-INIT,BED-INIT,BED-INIT,BED-INIT,BED-INIT
VARS->,SNDFG,BEDWID,BEDWRN,POR,D,W,RHO,KSAND,EXPSND,SD,SW,SRHO,STAUCD,STAUCS,SM,CD,CW,CRHO,CTAUCD,CTAUCS,CM,SAND,SILT,CLAY,BEDDEP,SAND,SILT,CLAY
SU3_0710_0910,3,167.8436501,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.289410,0.419330,0.200000,0.0001,0.001000,2.65,0.237960,0.362710,0.400000,0,10,10,50,0.47,0.36,0.17
SU3_0910_1010,3,172.2592657,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.451190,0.686660,0.200000,0.0001,0.001000,2.65,0.350090,0.586940,0.400000,0,10,10,50,0.47,0.36,0.17
SU1_0940_0900,3,76.47887885,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.615980,0.974170,0.200000,0.0001,0.001000,2.65,0.469750,0.813370,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_0800_0850,3,116.4340226,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.393620,0.610030,0.200000,0.0001,0.001000,2.65,0.303580,0.531650,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_0890_0900,3,95.02541483,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.410410,0.642670,0.200000,0.0001,0.001000,2.65,0.320240,0.552570,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_0680_0610,3,101.6036106,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.476880,0.752880,0.200000,0.0001,0.001000,2.65,0.369850,0.643860,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_0450_0720,3,100.8017792,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.297140,0.473810,0.200000,0.0001,0.001000,2.65,0.228210,0.402370,0.400000,0,10,10,50,0.47,0.36,0.17
SU2_0900_0870,3,124.1262231,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.516640,0.814890,0.200000,0.0001,0.001000,2.65,0.398720,0.694300,0.400000,0,10,10,50,0.47,0.36,0.17
SU3_0870_0730,3,140.950856,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.309000,0.473270,0.200000,0.0001,0.001000,2.65,0.235570,0.409110,0.400000,0,10,10,50,0.47,0.36,0.17
SU3_0370_0490,3,183.8742765,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.228290,0.355930,0.200000,0.0001,0.001000,2.65,0.178630,0.301340,0.400000,0,10,10,50,0.47,0.36,0.17
