landseg,landuse,nutrient,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
F51011,hom,nh3n,0,0,0,0,0.51602501,1.4188719,1.7424557,1.7424557,0.90284693,0.28001326,0,0
F51041,hom,nh3n,0,0,0,0,8.8761508E-2,0.37679023,0.43244609,0.43244609,0.28802872,4.8132733E-2,0,0
F51057,hom,nh3n,0,0,0,0,0.26288348,12.235859,12.401475,12.401475,11.972975,0.14321892,0,0
F51069,hom,nh3n,0,0,0,0,2.5173474E-2,3.8836755E-2,0.11263158,0.11263158,0.07166668,0.07166668,0,0
F51071,hom,nh3n,0,0,0,0,0.55941051,0.8629235,1.8888575,1.8888575,0.97877163,0.97877163,0,0
F51095,hom,nh3n,0,0,0,0,1.9714568E-2,5.4381877E-2,6.6893049E-2,6.6893049E-2,3.4667309E-2,1.0782352E-2,0,0
F51101,hom,nh3n,0,0,0,0,0.31451675,0.8803308,1.0778916,1.0778916,0.56581402,0.1706925,0,0
F51107,hom,nh3n,0,0,0,0,0.55468541,1.7462579,2.0939605,2.0939605,1.1915725,0.30094087,0,0
F51139,hom,nh3n,0,0,0,0,1.0314453,1.591141,3.4831643,3.4831643,1.80492,1.80492,0,0
F51147,hom,nh3n,0,0,0,0,0.15986966,0.85157818,0.95199358,0.95199358,0.69170851,8.6796254E-2,0,0
B54057,hom,nh3n,0,0,0,0,0,3.5533085,3.6987758,3.8797231,3.7342558,0,0,0
C51071,hom,nh3n,0,0,0,0,0.55941051,0.8629235,1.8888575,1.8888575,0.97877163,0.97877163,0,0
F24001,hom,nh3n,0,0,0,0,0,0.6856429,3.2558544,11.230936,8.6607246,0,0,0
F24015,hom,nh3n,0,0,0,0,0,1.0618768E-2,2.6747496,10.941001,8.2768707,0,0,0
F24017,hom,nh3n,0,0,0,0,0.79119408,0.79119408,0.85781908,0.26650003,0,0,0,0
F24021,hom,nh3n,0,0,0,0,0,0.46637383,0.74619812,0.93274766,0.65292341,0,0,0
F24023,hom,nh3n,0,0,0,0,0,1.3351554,12.033859,45.230137,34.531433,0,0,0
F24033,hom,nh3n,0,0,0,0,1.9463587,1.9463587,2.1276965,1.9584479,0,0,0,0
F24039,hom,nh3n,0,0,0,0,10.242965,10.242965,11.30261,10.920326,0,0,0,0
F24043,hom,nh3n,0,0,0,0,0,5.1240336E-2,2.529582,2.6833031,0.20496136,0,0,0
F24045,hom,nh3n,0,0,0,0,10.893542,10.893542,11.390208,11.125319,0,0,0,0
F36003,hom,nh3n,0,0,0,0,0,0.88448024,0.8976211,5.9517937,5.938653,0,0,0
F36015,hom,nh3n,0,0,0,0,0,6.4616852E-2,7.3961794E-2,5.0883217,5.0789766,0,0,0
F36025,hom,nh3n,0,0,0,0,0,0.1249857,0.14485584,24.903921,24.88405,0,0,0
F36101,hom,nh3n,0,0,0,0,0,0.35590887,0.35841137,0.41222891,0.40972641,0,0,0
F42013,hom,nh3n,0,0,0,0,0,0.18967526,0.20181449,0.40931922,0.39717999,0,0,0
F42043,hom,nh3n,0,0,0,0,0,1.3162769,1.3354205,1.6629201,1.6437765,0,0,0
F42069,hom,nh3n,0,0,0,0,0,0.30838689,0.3147859,0.42356938,0.41717035,0,0,0
F42075,hom,nh3n,0,0,0,0,0,1.180076,1.2013769,2.0534172,2.0321162,0,0,0
F42087,hom,nh3n,0,0,0,0,0,2.4158625E-2,6.7436643E-2,0.80790585,0.76462781,0,0,0
F42097,hom,nh3n,0,0,0,0,0,16.914379,16.918768,36.053158,36.048771,0,0,0
F42107,hom,nh3n,0,0,0,0,0,0.23402305,0.2374554,0.27645925,0.27302688,0,0,0
F42119,hom,nh3n,0,0,0,0,0,17.214025,17.226889,38.035053,38.02219,0,0,0
F51003,hom,nh3n,0,0,0,0,0.21783476,0.33940724,0.47597927,0.47597927,0.12157248,0.11820322,0,0
F51017,hom,nh3n,0,0,0,0,0.70712703,1.0904746,2.3852451,2.3852451,1.2360277,1.2360277,0,0
F51157,hom,nh3n,0,0,0,0,0.12536187,0.19488581,0.27347967,0.27347967,6.9523916E-2,6.8004377E-2,0,0
F51177,hom,nh3n,0,0,0,0,0.47306654,1.3011301,1.598313,1.598313,0.82806355,0.25682056,0,0
F51179,hom,nh3n,0,0,0,0,0.55218041,1.5176754,1.8646536,1.8646536,0.96549493,0.29952058,0,0
F51187,hom,nh3n,0,0,0,0,1.0701844,1.6512419,3.6155438,3.6155438,1.8736748,1.8736748,0,0
F51193,hom,nh3n,0,0,0,0,2.2035325E-2,12.141928,12.1557,12.1557,12.119892,0.01194039,0,0
F51550,hom,nh3n,0,0,0,0,3.4128697,8.7015905,5.3369269,5.3369269,5.2887201,1.6134113E-2,0,0
F51810,hom,nh3n,0,0,0,0,6.2436795,37.310997,31.093023,31.093023,31.06732,8.5990792E-3,0,0
F54023,hom,nh3n,0,0,0,0,0,4.6559711,5.0069051,5.4455729,5.0946388,0,0,0
F54057,hom,nh3n,0,0,0,0,0,3.5533085,3.6987758,3.8797231,3.7342558,0,0,0
F54071,hom,nh3n,0,0,0,0,0,3.9322813,4.2285876,4.5995927,4.3032866,0,0,0
A10001,hwm,nh3n,0,0,0,0,0,3.5386066,3.5386066,3.5386066,3.5386066,2.6860273,0,0
A24003,hwm,nh3n,0,0,0,0,0,3.0383811,3.0383811,3.0383811,3.0383811,3.0383811,0,0
A24011,hwm,nh3n,0,0,0,0,0,5.2243376,5.2243376,5.2243376,5.2243376,3.5668015,0,0
A24017,hwm,nh3n,0,0,0,0,0,4.4591193,4.4591193,4.4591193,4.4591193,4.4103279,0,0
A24027,hwm,nh3n,0,0,0,0,0,1.9409404,1.9409404,1.9409404,1.9409404,1.8349936,0,0
A24031,hwm,nh3n,0,0,0,0,0,2.8056629,2.8056629,2.8056629,2.8056629,2.5379691,0,0
A24041,hwm,nh3n,0,0,0,0,0,4.5187554,4.5187554,4.5187554,4.5187554,3.576261,0,0
A24047,hwm,nh3n,0,0,0,0,0,3.7215915,3.7215915,3.7215915,3.7215915,3.3642273,0,0
A36017,hwm,nh3n,0,0,0,0,0,6.3594405E-9,0.16759869,0.16759869,0.16759869,0.16759869,0,0
A36025,hwm,nh3n,0,0,0,0,0,0,0.39728481,0.39728481,0.39728481,0.39728481,0,0
A36043,hwm,nh3n,0,0,0,0,0,0,0.15342548,0.15342548,0.15342548,0.15342548,0,0
A36069,hwm,nh3n,0,0,0,0,0,0,7.8216586,7.8216586,7.8216586,7.8216586,0,0
A36077,hwm,nh3n,0,0,0,0,0,0,0.17653932,0.17653932,0.17653932,0.17653932,0,0
A36097,hwm,nh3n,0,0,0,0,0,2.2655419E-7,3.6618166,3.6618166,3.6618166,3.6618164,0,0
A36107,hwm,nh3n,0,0,0,0,0,0,0.13391532,0.13391532,0.13391532,0.13391532,0,0
F51043,hom,nh3n,0,0,0,0,6.2593319E-2,9.6554592E-2,0.2113509,0.2113509,0.1095006,0.1095006,0,0
F51085,hom,nh3n,0,0,0,0,0.17635345,1.0678002,1.0373545,1.0373545,0.89144671,4.8658382E-2,0,0
F51091,hom,nh3n,0,0,0,0,0.91695595,1.4144984,3.096137,3.096137,1.6043342,1.6043342,0,0
F51149,hom,nh3n,0,0,0,0,9.0518119E-3,17.635225,17.640947,17.640947,17.626175,17.508923,0,0
F51163,hom,nh3n,0,0,0,0,0.89026266,1.3732288,3.0056009,3.0056009,1.5573796,1.5573796,0,0
F51181,hom,nh3n,0,0,0,0,4.8944228E-3,16.520348,16.523434,16.523434,16.515453,16.509535,0,0
F54031,hom,nh3n,0,0,0,0,0,4.9991784,5.3758821,5.8467627,5.4700584,0,0,0
F54037,hom,nh3n,0,0,0,0,0,0.64927781,0.653117,0.65791601,0.65407681,0,0,0
F54093,hom,nh3n,0,0,0,0,0,2.0292301,2.1824539,2.3749654,2.2217419,0,0,0
A10005,hwm,nh3n,0,0,0,0,0,2.9578133,2.9578133,2.9578133,2.9578133,2.6812859,0,0
A24001,hwm,nh3n,0,0,0,0,0,0.99416065,0.99416065,0.99416065,0.99416065,0.87794977,0,0
A24015,hwm,nh3n,0,0,0,0,0,2.8101544,2.8101544,2.8101544,2.8101544,2.5535583,0,0
A24021,hwm,nh3n,0,0,0,0,0,1.9880607,1.9880607,1.9880607,1.9880607,1.7884423,0,0
A24035,hwm,nh3n,0,0,0,0,0,3.8433669,3.8433669,3.8433669,3.8433669,3.0177445,0,0
A36007,hwm,nh3n,0,0,0,0,0,1.3207611E-8,0.23331355,0.23331355,0.23331355,0.23331355,0,0
A36023,hwm,nh3n,0,0,0,0,0,5.3352527E-9,0.12201276,0.12201276,0.12201276,0.12201276,0,0
A36053,hwm,nh3n,0,0,0,0,0,7.5922119E-10,6.6715725E-2,6.6715725E-2,6.6715725E-2,6.6715725E-2,0,0
A36065,hwm,nh3n,0,0,0,0,0,0,0.10618309,0.10618309,0.10618309,0.10618309,0,0
