A24037,PL1_5910_0001,   rid,eof, TOTP, 0.1261148E+03
A24037,PL1_5910_0001,   rid,eof, TSSX, 0.6495329E+06
A24037,PL1_5910_0001,   rid,eof, ORGC, 0.1128006E+05
A24037,PL1_5910_0001,   rid,eof, TSED, 0.3247664E+03
A24037,PL1_5910_0001,   rid,eof,acres, 0.6305967E+02
A24037,PL1_5910_0001,   nid,eof, FLOW, 0.1952902E+04
A24037,PL1_5910_0001,   nid,eof, HEAT, 0.1984724E+05
A24037,PL1_5910_0001,   nid,eof, NH3X, 0.3480908E+04
A24037,PL1_5910_0001,   nid,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   nid,eof, ORGN, 0.7602546E+04
A24037,PL1_5910_0001,   nid,eof, TOTN, 0.1108345E+05
A24037,PL1_5910_0001,   nid,eof, PO4X, 0.1178967E+04
A24037,PL1_5910_0001,   nid,eof, ORGP, 0.1781375E+03
A24037,PL1_5910_0001,   nid,eof, TOTP, 0.1357104E+04
A24037,PL1_5910_0001,   nid,eof, TSSX, 0.6989534E+07
A24037,PL1_5910_0001,   nid,eof, ORGC, 0.1213832E+06
A24037,PL1_5910_0001,   nid,eof, TSED, 0.3494767E+04
A24037,PL1_5910_0001,   nid,eof,acres, 0.6785765E+03
A24037,PL1_5910_0001,   cid,eof, FLOW, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, HEAT, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, NH3X, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, ORGN, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, TOTN, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, PO4X, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, ORGP, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, TOTP, 0.0000000E+00
A24037,PL1_5910_0001,   cid,eof, TSSX, 0.0000000E+00
