riverseg,Total EOF Loads (lbs/yr) ***
OD4_9110_9140,522965.9962
OD4_9140_8990,323043.3219
OD5_8770_8780,1216630.426
OD5_8780_8660,447993.7149
OD5_8890_8770,31335.39946
OD5_8900_8770,815735.5431
OD5_8940_8780,420007.7511
OD6_8660_8621,863437.053
OR1_7700_7980,404990.5889
OR1_8280_8020,323039.9538
OR1_8320_8271,595042.6878
OR2_7610_7780,1553590.263
OR2_7650_8070,875770.4362
OR2_7670_7840,863712.3819
OR2_7780_7890,316900.0454
OR2_7840_7970,401248.681
OR2_7900_7740,380688.9452
OR2_8020_8130,514456.2371
OR2_8070_8120,270690.3137
OR2_8130_7900,73173.99604
OR2_8450_8490,419463.3936
OR2_8460_8271,1705226.573
OR3_7740_8271,649635.592
OR4_8120_7890,359186.2382
OR4_8271_8120,1990174.069
OR5_7890_7970,1036696.524
OR5_7910_8410,793088.294
OR5_7970_8200,501550.3546
OR5_7980_8200,207632.8822
OR5_8200_8370,114660.5944
OR5_8370_8410,90320.88019
OR5_8410_8470,528660.1266
OR7_8470_8490,2325138.265
OR7_8490_0000,895757.1335
PL0_4510_0001,421314.9787
PL0_4961_0000,220006.301
PL0_5000_0001,300683.9271
PL0_5010_5130,195192.5475
PL0_5070_0001,302305.1494
PL0_5090_0000,87620.53897
PL0_5131_0000,283267.6483
PL0_5141_5140,486815.347
PL3_5250_0001,194112.322
PL0_5251_0000,368923.5844
PL0_5290_0000,42698.0042
PL0_5390_0000,151266.7034
PL0_5440_0000,140287.9319
PL0_5450_0000,115136.4501
PL0_5490_0001,84960.07319
PL0_5491_0000,333230.7649
PL0_5510_0001,301997.765
PL0_5530_5710,70666.31631
PL0_5540_5490,30275.27142
PL0_5580_0000,126243.9064
PL0_5581_0000,77936.09309
PL0_5582_0000,61446.62077
PL0_5583_0000,52277.23319
PL0_5584_0000,123616.2855
PL0_5585_0000,57604.1235
PL0_5670_0000,215692.5768
PL0_5671_0000,123063.1186
PL0_5672_0000,223163.8878
PL0_5710_0001,27366.64568
PL0_5720_0001,69865.18034
PL0_5730_5690,140344.9371
PL0_5750_0001,135992.4425
PL0_5790_0000,217173.5853
PL0_5830_0001,170200.6763
PL0_5850_0000,136616.8894
PL0_5860_0000,16454.1339
PL0_5900_0000,505749.6591
PL0_5920_0000,367845.915
PL0_5930_0000,55157.46185
PL0_5950_0000,147105.0269
PL0_5951_0000,46074.41887
PL0_5952_0000,42207.54062
PL0_5960_0000,116825.0589
PL0_5961_0000,27576.64048
PL0_5962_0000,40964.9131
PL0_5980_0000,84636.62154
PL0_5981_0000,107469.4788
PL0_5982_0000,122285.9823
PL0_5983_0000,10937.54694
PL0_6020_0000,66031.01763
PL0_6060_0000,155841.2026
PL0_6100_0000,521607.5167
PL0_6110_0000,98805.75744
PL0_6130_0000,709832.8631
PL0_6140_0000,584840.9427
PL0_6270_0000,691864.3083
PL1_4460_4780,493049.4896
PL1_4540_0001,607013.6713
PL1_4780_0001,61154.84825
PL1_5060_0000,194783.962
PL1_5061_0000,40380.84426
PL1_5130_0001,212350.7406
PL1_5230_0001,369239.2234
PL1_5370_5470,701941.4027
PL1_5690_0001,70168.46406
PL1_5910_0001,109637.7862
PL2_4810_0000,348589.1708
PL2_4945_0004,253607.8922
PL2_4970_5250,1324527.127
PL2_5140_5360,424124.7688
PL2_5300_5630,485116.128
PL2_5470_5360,631272.2326
PL2_5630_0001,40799.6568
PL2_5800_0000,40238.82067
PL3_5360_5250,139700.3038
PL7_4910_0000,172086.8785
PL7_4940_0000,83755.70262
PL7_4960_0000,357727.4116
PL7_4980_0000,329435.6507
PM0_4640_4820,192412.5477
PM1_3120_3400,1536663.642
PM1_3450_3400,1263300.554
PM1_3510_4000,621257.2285
PM1_3710_4040,1071540.943
PM1_4000_4290,648925.0299
PM1_4250_4500,878533.5761
PM1_4430_4200,828753.0915
PM1_4500_4580,296517.1412
PM2_2860_3040,2077680.379
PM2_3400_3340,29682.63205
PM2_4860_4670,873204.6024
PM3_3040_3340,1675201.901
PM3_4660_4620,444689.3416
PM3_4670_4660,1784607.164
PM4_3340_3341,1599524.324
PM4_3341_4040,736859.7967
PM4_4040_4410,1687033.263
PM7_4150_4290,549549.3913
PM7_4200_4410,448394.966
PM7_4290_4200,61396.0145
PM7_4410_4620,812256.8238
PM7_4580_4820,1039779.805
PM7_4620_4580,1048070.692
PM7_4820_0001,82500.1894
PS0_6150_6160,114595.095
PS0_6160_6161,706443.2435
PS1_4790_4830,357159.8768
PS1_4830_5080,427549.4922
PS2_5550_5560,1610788.566
PS2_5560_5100,4789187.204
PS2_6420_6360,400975.5908
PS2_6490_6420,432284.043
PS2_6660_6490,121318.2197
PS2_6730_6660,761981.5103
PS3_5100_5080,2114415.655
PS3_5990_6161,3144414.233
PS3_6161_6280,199329.8427
PS3_6280_6230,609175.0113
PS3_6460_6230,3346484.595
PS4_5080_4380,502945.3828
PS4_5840_5240,3818271.726
PS4_6230_6360,595816.4497
PS4_6360_5840,207794.4345
PS5_4370_4150,196233.7288
PS5_4380_4370,2360357.478
PS5_5200_4380,158796.8619
PS5_5240_5200,2609302.167
PU0_3000_3090,1106670.381
PU0_3601_3602,179465.1247
PU0_3611_3530,140207.379
PU0_3751_3752,263656.2446
PU0_3871_3690,164998.855
PU0_5620_5380,427756.8738
PU0_6080_5620,753899.2404
PU1_3030_3440,711330.2179
PU1_3100_3690,466711.8805
PU1_3170_3580,249520.4203
PU1_3580_3780,151473.9564
PU1_3850_4190,203935.0674
PU1_3940_3970,290926.4384
PU1_4190_4300,207109.4823
PU1_4300_4440,44633.3869
PU1_4760_4450,45030.53751
PU1_4840_4760,216528.9025
PU1_5380_5050,152034.8627
PU1_5520_5210,201780.3285
PU1_5820_5380,70673.57409
PU2_2790_3290,3579120.479
PU2_2840_3080,968831.8144
PU2_3080_3640,338782.1765
PU2_3090_4050,2245246.005
PU2_3140_3680,698250.5828
PU2_3180_3370,252256.9035
PU2_3370_4020,295191.9054
PU2_3630_3590,484244.2818
PU2_3770_3600,1040109.322
PU2_3900_3750,493388.0904
PU2_4050_4180,82232.12981
PU2_4160_3930,235352.4472
PU2_4220_3900,1571067.448
PU2_4340_3860,827739.1402
PU2_4360_4160,914126.2145
PU2_4720_4750,334393.1884
PU2_4730_4220,383399.3341
PU2_4750_4450,53400.8025
PU2_5190_4310,810778.3142
PU2_5700_5210,652479.4901
PU2_6050_5190,374416.9288
PU3_2510_3290,2120312.956
PU3_3290_3390,348267.0177
PU3_3390_3730,850256.1864
PU3_3680_3890,246053.5997
PU3_3860_3610,148899.3379
PU3_4280_3860,1764863.309
PU3_4450_4440,563604.5719
PU3_5210_5050,275840.9435
PU4_3780_3930,103132.3019
PU4_3890_3990,18409.02968
PU4_3970_3890,506832.4652
PU4_3990_3780,20524.10502
PU4_4210_4170,64060.52882
PU4_4310_4210,1335775.756
PU4_4440_3970,11368.86841
PU4_5050_4310,1408857.155
PU5_3930_4170,187552.9005
PU5_4170_4020,11327.96797
PU6_3440_3590,110809.6464
PU6_3530_3440,68419.30225
PU6_3590_3640,13175.6131
PU6_3600_3602,243309.0629
PU6_3602_3730,101046.8434
PU6_3610_3530,84418.5801
PU6_3640_3600,96721.22463
PU6_3690_3610,74719.69936
PU6_3730_3750,187491.0677
PU6_3750_3752,346489.3832
PU6_3752_4080,126491.0766
PU6_3870_3690,118150.0811
PU6_4020_3870,439768.6925
PU6_4080_4180,93059.98206
PU6_4180_4150,471977.8224
RL0_6450_0000,788588.7011
RL0_6500_0000,789143.1117
RL0_6501_0000,728514.7276
RL0_6530_0000,745470.732
RL0_6540_0001,189625.2973
RL1_6180_0001,311448.0047
RL1_6322_0000,270255.4404
RL5_6070_0000,2874627.67
RL5_6320_0000,172715.4907
RL5_6321_0000,600671.9021
RU2_5220_5640,1615531.517
RU2_5500_5610,937508.587
RU2_5810_5610,688754.8525
RU2_5940_6200,1222590.99
RU2_6090_6220,634044.5325
RU2_6200_6170,139858.9433
RU2_6220_6170,988412.7137
RU3_5610_5640,524504.1334
RU3_6170_6040,225301.4679
RU4_5640_6030,1844141.98
RU4_6040_6030,1356694.101
RU5_6030_0001,160055.8305
SJ1_2280_2450,314859.009
SJ2_1900_1930,1815202.004
SJ2_2110_2170,290877.8655
SJ2_2150_2130,568919.2202
SJ2_2500_2450,59715.68205
SJ2_2530_2820,1078135.575
SJ2_2570_2660,762032.84
SJ2_2580_2500,986544.1028
SJ2_2820_2740,151111.2433
SJ2_2900_2740,821160.8453
SJ3_1980_2060,907856.0184
SJ3_2040_1980,1270226.058
SJ3_2160_2170,1427194.629
SJ3_2170_1970,115075.7357
SJ3_2230_2060,882952.4805
SJ3_2250_2230,2017716.686
SJ3_2450_2120,201332.4101
SJ4_2010_2210,806278.9167
SJ4_2060_2010,423545.4138
SJ4_2340_2210,11102.51447
SJ4_2360_2340,853661.1553
SJ4_2660_2360,101997.7525
SJ4_2740_2660,1580346.421
SJ5_2120_1930,1037253.197
SJ5_2210_2320,295682.2186
SJ5_2320_2120,233347.3629
SJ6_1930_1970,1194781.513
SJ6_1970_2130,1481458.691
SJ6_2130_2050,375367.1217
SL0_2180_2220,1524613.215
SL0_2220_2140,74469.67852
SL0_2721_2720,474407.3756
SL0_2831_2830,293929.4729
SL1_1700_1780,786709.7583
SL1_1730_1700,281011.9719
SL1_1790_1840,1711103.012
SL1_2000_2090,1360694.577
SL1_2190_2350,3128262.083
SL1_2390_2420,1628221.715
SL1_2670_2370,494818.6163
SL1_2760_2730,324320.9025
SL1_2770_2730,1714642.2
SL1_2830_2760,726405.4668
SL2_1670_1880,1013810.668
SL2_1810_2030,1500679.071
SL2_1850_1990,691245.9038
SL2_1990_2070,358311.3036
SL2_2070_2090,320732.5896
SL2_2200_2350,3195340.32
SL2_2300_2520,3424309.299
SL2_2410_2700,3875333.277
SL2_2480_0001,3984809.856
SL2_2540_2370,1051114.971
SL2_2750_2720,2123811.764
SL2_2910_3060,1198881.788
SL2_3060_0001,860749.3389
SL3_1710_1740,1898542.347
SL3_1740_1840,1033813.1
SL3_1840_1880,26697.14972
SL3_1960_2080,1091313.29
SL3_2260_2050,507880.9648
SL3_2290_2260,1461823.705
SL3_2350_2470,1396342.278
SL3_2400_2440,1945256.057
SL3_2420_2700,3226039.853
SL3_2440_2380,47909.83335
SL3_2460_2430,6317696.496
SL3_2470_2420,405237.9404
SL3_2550_2490,677806.4002
SL3_2730_2550,133161.5074
SL4_2090_2100,558366.7437
SL4_2100_2140,251620.1249
SL4_2140_2240,714347.7989
SL4_2240_2310,1127632.728
SL4_2330_2270,654918.1373
SL4_2370_2330,3568094.323
SL8_1760_1780,144091.4688
SL8_1780_1880,212121.8372
SL8_1880_2030,1367100.304
SL8_2030_2080,299007.1369
SL8_2080_2050,1019338.752
SL9_2050_2270,880857.3152
SL9_2270_2380,471597.2266
SL9_2310_2430,1104633.237
SL9_2380_2310,199874.8986
SL9_2430_2490,890087.943
