riverseg,Additional EOS Loads (lbs/yr) ***
SL1_1700_1780,41072.77
SL1_1730_1700,7877.173
SL1_1790_1840,3079.479
SL1_2000_2090,4752.553
SL1_2190_2350,25512.61922
SL1_2390_2420,33983.2097
SL1_2670_2370,2722.893
SL1_2760_2730,25464.32
SL1_2770_2730,9158.991
SL1_2830_2760,11929.55
SL2_1670_1880,23101.8
SL2_1810_2030,0
SL2_1850_1990,2967.338
SL2_1990_2070,0
SL2_2070_2090,1917.825
SL2_2200_2350,6247.368442
SL2_2300_2520,7300.269
SL2_2410_2700,0
SL2_2480_0001,1995.90478
SL2_2540_2370,0
SL2_2750_2720,2.061233
SL2_2910_3060,1442.270493
SL2_3060_0001,18.5511
SL3_1710_1740,0
SL3_1740_1840,0
SL3_1840_1880,0
SL3_1960_2080,3633.763
SL3_2260_2050,2850.8279
SL3_2290_2260,177.5258
SL3_2350_2470,11538.86051
SL3_2400_2440,132881.844
SL3_2420_2700,3599.07424
SL3_2440_2380,18731.02565
SL3_2460_2430,44338.57
SL3_2470_2420,69980.15889
SL3_2550_2490,55657.07
SL3_2730_2550,0
SL4_2090_2100,10045.75
SL4_2100_2140,0
SL4_2140_2240,0
SL4_2240_2310,31494.6
SL4_2330_2270,25780.29
SL4_2370_2330,6517.54453
SL8_1760_1780,3897.172
SL8_1780_1880,13883.35
SL8_1880_2030,1262.131
SL8_2030_2080,95.46199
SL8_2080_2050,2921.8705
SL9_2050_2270,2684.14641
SL9_2270_2380,110847.723
SL9_2310_2430,3395.657
SL9_2380_2310,10890.15
SL9_2430_2490,10224.636
SL9_2490_2520,1723.921
SL9_2520_2700,25742.371
SL9_2700_2720,0
SL9_2720_0001,6045.135253
SL9_2970_0000,1912.73678
SL9_2971_0000,1786.318
SU1_0050_0090,1289.3959
SU1_0060_0190,1403.994
SU1_0080_0210,1177.086
SU1_0200_0270,2402.672
SU1_0330_0560,825.52526
SU1_0380_0400,425.99385
SU1_0390_0560,233.37369
SU1_0410_0480,489.0539
SU1_0660_0710,0
SU1_0820_0740,519.91748
SU1_0840_0831,24.58356
SU1_0940_0900,14.61662
SU1_1480_1500,49385.8232
SU1_1630_1610,0
SU2_0020_0140,28503.7006
SU2_0030_0140,67249.157
SU2_0040_0180,1276.358
SU2_0070_0090,21528.011
