land,for,hvf,rpd,npd,cpd,rcn,ccn,rex,nex,cex,pas,trp,urs,alf,hyw,hyo,hom,hwm,lwm,nhy,npa,nal ,nho,nhi,nlo,afo,cfo,rid,nid,cid
A51810,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,0.6,0.6,0.6,2.34,2.34,1.4,0.6,0.09,0.6,2.34,2.34,1.4,0.86,0.86,5.18,5.18,5.18
A51820,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,0.6,0.6,0.6,2.34,2.34,1.4,0.6,0.09,0.6,2.34,2.34,1.4,0.86,0.86,5.18,5.18,5.18
A51830,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,0.6,0.6,0.6,2.34,2.34,1.4,0.6,0.09,0.6,2.34,2.34,1.4,0.86,0.86,5.18,5.18,5.18
A51840,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,0.6,0.6,0.6,2.34,2.34,1.4,0.6,0.09,0.6,2.34,2.34,1.4,0.86,0.86,5.18,5.18,5.18
A54003,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.33,3.96,3.14,0.63,0.63,0.63,2.45,2.45,1.47,0.63,0.33,0.63,2.45,2.45,1.47,3.14,3.14,5.18,5.18,5.18
A54023,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.82,33.84,26.79,0.22,0.22,0.22,0.85,0.85,0.51,0.22,2.82,0.22,0.85,0.85,0.51,26.79,26.79,5.18,5.18,5.18
A54027,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.74,20.88,16.53,0.37,0.37,0.37,1.45,1.45,0.87,0.37,1.74,0.37,1.45,1.45,0.87,16.53,16.53,5.18,5.18,5.18
A54031,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.87,22.44,17.77,0.48,0.48,0.48,1.86,1.86,1.12,0.48,1.87,0.48,1.86,1.86,1.12,17.77,17.77,5.18,5.18,5.18
A54037,0.4,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.28,3.36,2.66,0.57,0.57,0.57,2.21,2.21,1.33,0.57,0.28,0.57,2.21,2.21,1.33,2.66,2.66,5.18,5.18,5.18
A54057,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.87,22.44,17.77,0.18,0.18,0.18,0.68,0.68,0.41,0.18,1.87,0.18,0.68,0.68,0.41,17.77,17.77,5.18,5.18,5.18
A54063,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,6.44,77.28,61.18,2.16,2.16,2.16,8.44,8.44,5.06,2.16,6.44,2.16,8.44,8.44,5.06,61.18,61.18,5.18,5.18,5.18
A54065,0.24,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.36,16.32,12.92,2.69,2.69,2.69,10.5,10.5,6.3,2.69,1.36,2.69,10.5,10.5,6.3,12.92,12.92,5.18,5.18,5.18
A54071,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.55,18.6,14.73,0.36,0.36,0.36,1.41,1.41,0.85,0.36,1.55,0.36,1.41,1.41,0.85,14.73,14.73,5.18,5.18,5.18
A54077,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.6,19.2,15.2,2.04,2.04,2.04,7.95,7.95,4.77,2.04,1.6,2.04,7.95,7.95,4.77,15.2,15.2,5.18,5.18,5.18
A54093,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.25,27,21.38,0.03,0.03,0.03,0.14,0.14,0.08,0.03,2.25,0.03,0.14,0.14,0.08,21.38,21.38,5.18,5.18,5.18
B24001,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.23,2.76,2.19,1.04,1.04,1.04,4.08,4.08,2.45,1.04,0.23,1.04,4.08,4.08,2.45,2.19,2.19,5.18,5.18,5.18
B24021,0.28,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.48,17.76,14.06,2.46,2.46,2.46,9.59,9.59,5.76,2.46,1.48,2.46,9.59,9.59,5.76,14.06,14.06,5.18,5.18,5.18
B37005,0.28,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.85,10.2,8.08,2.23,2.23,2.23,8.71,8.71,5.23,2.23,0.85,2.23,8.71,8.71,5.23,8.08,8.08,5.18,5.18,5.18
B37009,0.36,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3,36,28.5,1.68,1.68,1.68,6.55,6.55,3.93,1.68,3,1.68,6.55,6.55,3.93,28.5,28.5,5.18,5.18,5.18
B42001,0.29,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.17,2.04,1.62,1.44,1.44,1.44,5.61,5.61,3.36,1.44,0.17,1.44,5.61,5.61,3.36,1.62,1.62,5.18,5.18,5.18
B42009,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.08,12.96,10.26,1.47,1.47,1.47,5.73,5.73,3.44,1.47,1.08,1.47,5.73,5.73,3.44,10.26,10.26,5.18,5.18,5.18
B42015,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.23,2.76,2.19,1.48,1.48,1.48,5.76,5.76,3.46,1.48,0.23,1.48,5.76,5.76,3.46,2.19,2.19,5.18,5.18,5.18
B42027,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.41,16.92,13.4,1.91,1.91,1.91,7.47,7.47,4.48,1.91,1.41,1.91,7.47,7.47,4.48,13.4,13.4,5.18,5.18,5.18
B42035,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.65,7.8,6.18,0.9,0.9,0.9,3.5,3.5,2.1,0.9,0.65,0.9,3.5,3.5,2.1,6.18,6.18,5.18,5.18,5.18
B42041,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.22,14.64,11.59,1.92,1.92,1.92,7.51,7.51,4.51,1.92,1.22,1.92,7.51,7.51,4.51,11.59,11.59,5.18,5.18,5.18
B42043,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.31,3.72,2.95,1.35,1.35,1.35,5.27,5.27,3.16,1.35,0.31,1.35,5.27,5.27,3.16,2.95,2.95,5.18,5.18,5.18
B42055,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.74,8.88,7.03,2,2,2,7.82,7.82,4.69,2,0.74,2,7.82,7.82,4.69,7.03,7.03,5.18,5.18,5.18
B42079,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.15,1.8,1.43,0.88,0.88,0.88,3.43,3.43,2.06,0.88,0.15,0.88,3.43,3.43,2.06,1.43,1.43,5.18,5.18,5.18
B42081,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.26,3.12,2.47,1.81,1.81,1.81,7.08,7.08,4.25,1.81,0.26,1.81,7.08,7.08,4.25,2.47,2.47,5.18,5.18,5.18
B42119,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.08,0.96,0.76,1.43,1.43,1.43,5.58,5.58,3.35,1.43,0.08,1.43,5.58,5.58,3.35,0.76,0.76,5.18,5.18,5.18
B42131,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.18,2.16,1.71,1.34,1.34,1.34,5.25,5.25,3.15,1.34,0.18,1.34,5.25,5.25,3.15,1.71,1.71,5.18,5.18,5.18
B51003,0.49,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.85,34.2,27.08,0.27,0.27,0.27,1.04,1.04,0.63,0.27,2.85,0.27,1.04,1.04,0.63,27.08,27.08,5.18,5.18,5.18
B51009,0.45,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.45,41.4,32.78,0.8,0.8,0.8,3.12,3.12,1.87,0.8,3.45,0.8,3.12,3.12,1.87,32.78,32.78,5.18,5.18,5.18
B51015,0.45,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.74,44.88,35.53,3.21,3.21,3.21,12.53,12.53,7.52,3.21,3.74,3.21,12.53,12.53,7.52,35.53,35.53,5.18,5.18,5.18
B51017,0.32,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.51,18.12,14.35,0.19,0.19,0.19,0.75,0.75,0.45,0.19,1.51,0.19,0.75,0.75,0.45,14.35,14.35,5.18,5.18,5.18
B51019,0.24,3,0.74,0.74,0.74,24.7,24.7,10,10,10,4.54,54.48,43.13,0.89,0.89,0.89,3.46,3.46,2.08,0.89,4.54,0.89,3.46,3.46,2.08,43.13,43.13,5.18,5.18,5.18
B51023,0.43,3,0.74,0.74,0.74,24.7,24.7,10,10,10,6.85,82.2,65.08,2.17,2.17,2.17,8.46,8.46,5.08,2.17,6.85,2.17,8.46,8.46,5.08,65.08,65.08,5.18,5.18,5.18
B51035,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.52,42.24,33.44,2.69,2.69,2.69,10.52,10.52,6.31,2.69,3.52,2.69,10.52,10.52,6.31,33.44,33.44,5.18,5.18,5.18
B51061,0.37,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.73,8.76,6.94,1.22,1.22,1.22,4.78,4.78,2.87,1.22,0.73,1.22,4.78,4.78,2.87,6.94,6.94,5.18,5.18,5.18
B51067,0.41,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.77,33.24,26.32,2.01,2.01,2.01,7.87,7.87,4.72,2.01,2.77,2.01,7.87,7.87,4.72,26.32,26.32,5.18,5.18,5.18
B51071,0.35,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.48,5.76,4.56,0.03,0.03,0.03,0.11,0.11,0.07,0.03,0.48,0.03,0.11,0.11,0.07,4.56,4.56,5.18,5.18,5.18
B51077,0.32,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.22,38.64,30.59,0.94,0.94,0.94,3.67,3.67,2.2,0.94,3.22,0.94,3.67,3.67,2.2,30.59,30.59,5.18,5.18,5.18
B51079,0.46,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.24,14.88,11.78,1.22,1.22,1.22,4.77,4.77,2.86,1.22,1.24,1.22,4.77,4.77,2.86,11.78,11.78,5.18,5.18,5.18
B51091,0.32,3,0.74,0.74,0.74,24.7,24.7,10,10,10,5.5,66,52.25,0.11,0.11,0.11,0.42,0.42,0.25,0.11,5.5,0.11,0.42,0.42,0.25,52.25,52.25,5.18,5.18,5.18
B51105,0.48,3,0.74,0.74,0.74,24.7,24.7,10,10,10,7.96,95.52,75.62,2.13,2.13,2.13,8.32,8.32,4.99,2.13,7.96,2.13,8.32,8.32,4.99,75.62,75.62,5.18,5.18,5.18
B51113,0.49,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.54,18.48,14.63,2.75,2.75,2.75,10.75,10.75,6.45,2.75,1.54,2.75,10.75,10.75,6.45,14.63,14.63,5.18,5.18,5.18
B51125,0.51,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.34,28.08,22.23,2.01,2.01,2.01,7.86,7.86,4.72,2.01,2.34,2.01,7.86,7.86,4.72,22.23,22.23,5.18,5.18,5.18
B51139,0.45,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.89,10.68,8.46,1.95,1.95,1.95,7.61,7.61,4.57,1.95,0.89,1.95,7.61,7.61,4.57,8.46,8.46,5.18,5.18,5.18
B51141,0.4,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.75,45,35.63,2.31,2.31,2.31,9.03,9.03,5.42,2.31,3.75,2.31,9.03,9.03,5.42,35.63,35.63,5.18,5.18,5.18
B51157,0.42,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.83,9.96,7.89,3.81,3.81,3.81,14.88,14.88,8.93,3.81,0.83,3.81,14.88,14.88,8.93,7.89,7.89,5.18,5.18,5.18
B51161,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.13,37.56,29.74,1.81,1.81,1.81,7.06,7.06,4.24,1.81,3.13,1.81,7.06,7.06,4.24,29.74,29.74,5.18,5.18,5.18
B51163,0.51,3,0.74,0.74,0.74,24.7,24.7,10,10,10,9.9,118.8,94.05,1.85,1.85,1.85,7.24,7.24,4.34,1.85,9.9,1.85,7.24,7.24,4.34,94.05,94.05,5.18,5.18,5.18
B51165,0.43,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.56,42.72,33.82,2.83,2.83,2.83,11.06,11.06,6.64,2.83,3.56,2.83,11.06,11.06,6.64,33.82,33.82,5.18,5.18,5.18
B51167,0.54,3,0.74,0.74,0.74,24.7,24.7,10,10,10,8.93,107.16,84.84,1.38,1.38,1.38,5.41,5.41,3.24,1.38,8.93,1.38,5.41,5.41,3.24,84.84,84.84,5.18,5.18,5.18
B51169,0.44,3,0.74,0.74,0.74,24.7,24.7,10,10,10,11.5,138,109.25,0.92,0.92,0.92,3.61,3.61,2.16,0.92,11.5,0.92,3.61,3.61,2.16,109.25,109.25,5.18,5.18,5.18
B51171,0.32,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.2,38.4,30.4,2.1,2.1,2.1,8.19,8.19,4.91,2.1,3.2,2.1,8.19,8.19,4.91,30.4,30.4,5.18,5.18,5.18
B51173,0.46,3,0.74,0.74,0.74,24.7,24.7,10,10,10,4.85,58.2,46.08,0.76,0.76,0.76,2.96,2.96,1.78,0.76,4.85,0.76,2.96,2.96,1.78,46.08,46.08,5.18,5.18,5.18
B51185,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,10.24,122.88,97.28,1.43,1.43,1.43,5.58,5.58,3.35,1.43,10.24,1.43,5.58,5.58,3.35,97.28,97.28,5.18,5.18,5.18
B51187,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.31,15.72,12.45,1.92,1.92,1.92,7.52,7.52,4.51,1.92,1.31,1.92,7.52,7.52,4.51,12.45,12.45,5.18,5.18,5.18
B51191,0.51,3,0.74,0.74,0.74,24.7,24.7,10,10,10,8.09,97.08,76.86,2.09,2.09,2.09,8.18,8.18,4.91,2.09,8.09,2.09,8.18,8.18,4.91,76.86,76.86,5.18,5.18,5.18
B51195,0.43,3,0.74,0.74,0.74,24.7,24.7,10,10,10,11.5,138,109.25,0.92,0.92,0.92,3.61,3.61,2.16,0.92,11.5,0.92,3.61,3.61,2.16,109.25,109.25,5.18,5.18,5.18
B51197,0.48,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.86,0.86,0.86,3.37,3.37,2.02,0.86,2.38,0.86,3.37,3.37,2.02,22.61,22.61,5.18,5.18,5.18
B54023,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.82,33.84,26.79,0.22,0.22,0.22,0.85,0.85,0.51,0.22,2.82,0.22,0.85,0.85,0.51,26.79,26.79,5.18,5.18,5.18
B54031,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.87,22.44,17.77,0.48,0.48,0.48,1.86,1.86,1.12,0.48,1.87,0.48,1.86,1.86,1.12,17.77,17.77,5.18,5.18,5.18
B54057,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.87,22.44,17.77,0.18,0.18,0.18,0.68,0.68,0.41,0.18,1.87,0.18,0.68,0.68,0.41,17.77,17.77,5.18,5.18,5.18
B54071,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.55,18.6,14.73,0.36,0.36,0.36,1.41,1.41,0.85,0.36,1.55,0.36,1.41,1.41,0.85,14.73,14.73,5.18,5.18,5.18
C42009,0.26,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.08,12.96,10.26,1.47,1.47,1.47,5.73,5.73,3.44,1.47,1.08,1.47,5.73,5.73,3.44,10.26,10.26,5.18,5.18,5.18
C51015,0.41,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.74,44.88,35.53,3.21,3.21,3.21,12.53,12.53,7.52,3.21,3.74,3.21,12.53,12.53,7.52,35.53,35.53,5.18,5.18,5.18
C51071,0.38,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.48,5.76,4.56,0.03,0.03,0.03,0.11,0.11,0.07,0.03,0.48,0.03,0.11,0.11,0.07,4.56,4.56,5.18,5.18,5.18
C51165,0.49,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.56,42.72,33.82,2.83,2.83,2.83,11.06,11.06,6.64,2.83,3.56,2.83,11.06,11.06,6.64,33.82,33.82,5.18,5.18,5.18
F10005,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.32,0.32,0.32,1.26,1.26,0.75,0.32,0.03,0.32,1.26,1.26,0.75,0.29,0.29,5.18,5.18,5.18
F11001,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.32,0.32,0.32,1.26,1.26,0.75,0.32,0.03,0.32,1.26,1.26,0.75,0.29,0.29,5.18,5.18,5.18
F24001,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.23,2.76,2.19,1.04,1.04,1.04,4.08,4.08,2.45,1.04,0.23,1.04,4.08,4.08,2.45,2.19,2.19,5.18,5.18,5.18
F24003,0.29,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.47,5.64,4.47,2.58,2.58,2.58,10.06,10.06,6.04,2.58,0.47,2.58,10.06,10.06,6.04,4.47,4.47,5.18,5.18,5.18
F24005,0.46,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.29,15.48,12.26,3.18,3.18,3.18,12.42,12.42,7.45,3.18,1.29,3.18,12.42,12.42,7.45,12.26,12.26,5.18,5.18,5.18
F24009,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.15,13.8,10.93,5.67,5.67,5.67,22.15,22.15,13.29,5.67,1.15,5.67,22.15,22.15,13.29,10.93,10.93,5.18,5.18,5.18
F24013,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.85,10.2,8.08,1.05,1.05,1.05,4.09,4.09,2.45,1.05,0.85,1.05,4.09,4.09,2.45,8.08,8.08,5.18,5.18,5.18
F24015,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.49,5.88,4.66,1.75,1.75,1.75,6.82,6.82,4.09,1.75,0.49,1.75,6.82,6.82,4.09,4.66,4.66,5.18,5.18,5.18
F24017,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.36,4.32,3.42,3.69,3.69,3.69,14.41,14.41,8.65,3.69,0.36,3.69,14.41,14.41,8.65,3.42,3.42,5.18,5.18,5.18
F24019,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.08,0.96,0.76,0.64,0.64,0.64,2.49,2.49,1.49,0.64,0.08,0.64,2.49,2.49,1.49,0.76,0.76,5.18,5.18,5.18
F24021,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.48,17.76,14.06,2.46,2.46,2.46,9.59,9.59,5.76,2.46,1.48,2.46,9.59,9.59,5.76,14.06,14.06,5.18,5.18,5.18
F24023,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.57,6.84,5.42,1.11,1.11,1.11,4.34,4.34,2.6,1.11,0.57,1.11,4.34,4.34,2.6,5.42,5.42,5.18,5.18,5.18
F24025,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.38,4.56,3.61,1.76,1.76,1.76,6.87,6.87,4.12,1.76,0.38,1.76,6.87,6.87,4.12,3.61,3.61,5.18,5.18,5.18
F24027,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.2,38.4,30.4,2.02,2.02,2.02,7.89,7.89,4.73,2.02,3.2,2.02,7.89,7.89,4.73,30.4,30.4,5.18,5.18,5.18
F24029,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.27,15.24,12.07,1.43,1.43,1.43,5.58,5.58,3.35,1.43,1.27,1.43,5.58,5.58,3.35,12.07,12.07,5.18,5.18,5.18
F24031,0.36,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.23,14.76,11.69,2.8,2.8,2.8,10.96,10.96,6.57,2.8,1.23,2.8,10.96,10.96,6.57,11.69,11.69,5.18,5.18,5.18
F24033,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.99,35.88,28.41,5.7,5.7,5.7,22.28,22.28,13.37,5.7,2.99,5.7,22.28,22.28,13.37,28.41,28.41,5.18,5.18,5.18
F24035,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.16,1.92,1.52,1.11,1.11,1.11,4.33,4.33,2.6,1.11,0.16,1.11,4.33,4.33,2.6,1.52,1.52,5.18,5.18,5.18
F24037,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.28,3.36,2.66,2,2,2,7.83,7.83,4.7,2,0.28,2,7.83,7.83,4.7,2.66,2.66,5.18,5.18,5.18
F24039,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.54,0.54,0.54,2.09,2.09,1.26,0.54,0.03,0.54,2.09,2.09,1.26,0.29,0.29,5.18,5.18,5.18
F24041,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.56,0.56,0.56,2.17,2.17,1.3,0.56,0.03,0.56,2.17,2.17,1.3,0.29,0.29,5.18,5.18,5.18
F24043,0.31,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.28,15.36,12.16,1.6,1.6,1.6,6.24,6.24,3.74,1.6,1.28,1.6,6.24,6.24,3.74,12.16,12.16,5.18,5.18,5.18
F24045,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.16,1.92,1.52,0.72,0.72,0.72,2.8,2.8,1.68,0.72,0.16,0.72,2.8,2.8,1.68,1.52,1.52,5.18,5.18,5.18
F24510,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.27,3.24,2.57,0.8,0.8,0.8,3.14,3.14,1.89,0.8,0.27,0.8,3.14,3.14,1.89,2.57,2.57,5.18,5.18,5.18
F36003,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.98,11.76,9.31,0.67,0.67,0.67,2.63,2.63,1.58,0.67,0.98,0.67,2.63,2.63,1.58,9.31,9.31,5.18,5.18,5.18
F36007,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.17,2.04,1.62,0.66,0.66,0.66,2.56,2.56,1.54,0.66,0.17,0.66,2.56,2.56,1.54,1.62,1.62,5.18,5.18,5.18
F36015,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.57,6.84,5.42,1.05,1.05,1.05,4.11,4.11,2.46,1.05,0.57,1.05,4.11,4.11,2.46,5.42,5.42,5.18,5.18,5.18
F36025,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.41,4.92,3.9,0.88,0.88,0.88,3.44,3.44,2.06,0.88,0.41,0.88,3.44,3.44,2.06,3.9,3.9,5.18,5.18,5.18
F36101,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.29,3.48,2.76,0.98,0.98,0.98,3.82,3.82,2.29,0.98,0.29,0.98,3.82,3.82,2.29,2.76,2.76,5.18,5.18,5.18
F42001,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.17,2.04,1.62,1.44,1.44,1.44,5.61,5.61,3.36,1.44,0.17,1.44,5.61,5.61,3.36,1.62,1.62,5.18,5.18,5.18
F42009,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.08,12.96,10.26,1.47,1.47,1.47,5.73,5.73,3.44,1.47,1.08,1.47,5.73,5.73,3.44,10.26,10.26,5.18,5.18,5.18
F42011,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.74,8.88,7.03,2.15,2.15,2.15,8.39,8.39,5.03,2.15,0.74,2.15,8.39,8.39,5.03,7.03,7.03,5.18,5.18,5.18
F42013,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.21,2.52,2,1.11,1.11,1.11,4.33,4.33,2.6,1.11,0.21,1.11,4.33,4.33,2.6,2,2,5.18,5.18,5.18
F42021,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.22,2.64,2.09,1,1,1,3.9,3.9,2.34,1,0.22,1,3.9,3.9,2.34,2.09,2.09,5.18,5.18,5.18
F42027,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.41,16.92,13.4,1.91,1.91,1.91,7.47,7.47,4.48,1.91,1.41,1.91,7.47,7.47,4.48,13.4,13.4,5.18,5.18,5.18
F42033,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,4.53,54.36,43.04,0.27,0.27,0.27,1.04,1.04,0.62,0.27,4.53,0.27,1.04,1.04,0.62,43.04,43.04,5.18,5.18,5.18
F42035,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.65,7.8,6.18,0.9,0.9,0.9,3.5,3.5,2.1,0.9,0.65,0.9,3.5,3.5,2.1,6.18,6.18,5.18,5.18,5.18
F42041,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.22,14.64,11.59,1.92,1.92,1.92,7.51,7.51,4.51,1.92,1.22,1.92,7.51,7.51,4.51,11.59,11.59,5.18,5.18,5.18
F42043,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.31,3.72,2.95,1.35,1.35,1.35,5.27,5.27,3.16,1.35,0.31,1.35,5.27,5.27,3.16,2.95,2.95,5.18,5.18,5.18
F42055,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.74,8.88,7.03,2,2,2,7.82,7.82,4.69,2,0.74,2,7.82,7.82,4.69,7.03,7.03,5.18,5.18,5.18
F42061,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.55,6.6,5.23,1.84,1.84,1.84,7.19,7.19,4.32,1.84,0.55,1.84,7.19,7.19,4.32,5.23,5.23,5.18,5.18,5.18
F42069,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.53,6.36,5.04,0.55,0.55,0.55,2.13,2.13,1.28,0.55,0.53,0.55,2.13,2.13,1.28,5.04,5.04,5.18,5.18,5.18
F42071,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.65,19.8,15.68,2.57,2.57,2.57,10.03,10.03,6.02,2.57,1.65,2.57,10.03,10.03,6.02,15.68,15.68,5.18,5.18,5.18
F42075,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.46,5.52,4.37,2.16,2.16,2.16,8.44,8.44,5.07,2.16,0.46,2.16,8.44,8.44,5.07,4.37,4.37,5.18,5.18,5.18
F42079,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.15,1.8,1.43,0.88,0.88,0.88,3.43,3.43,2.06,0.88,0.15,0.88,3.43,3.43,2.06,1.43,1.43,5.18,5.18,5.18
F42081,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.26,3.12,2.47,1.81,1.81,1.81,7.08,7.08,4.25,1.81,0.26,1.81,7.08,7.08,4.25,2.47,2.47,5.18,5.18,5.18
F42087,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.27,3.24,2.57,1.66,1.66,1.66,6.49,6.49,3.89,1.66,0.27,1.66,6.49,6.49,3.89,2.57,2.57,5.18,5.18,5.18
F42097,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.81,9.72,7.7,2.57,2.57,2.57,10.03,10.03,6.02,2.57,0.81,2.57,10.03,10.03,6.02,7.7,7.7,5.18,5.18,5.18
F42107,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.54,6.48,5.13,1.77,1.77,1.77,6.91,6.91,4.14,1.77,0.54,1.77,6.91,6.91,4.14,5.13,5.13,5.18,5.18,5.18
F42115,0.31,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.16,1.92,1.52,0.26,0.26,0.26,1.02,1.02,0.61,0.26,0.16,0.26,1.02,1.02,0.61,1.52,1.52,5.18,5.18,5.18
