landseg,for,hvf,hwm,lwm,hom,hyw,pas,hyo,alf,trp,urs,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,nhi,nlo,nho,nhy,npa,nal
A42131,0.8575,20.25,10.1215,10.1336,13.8968,2.5785,2.3433,2.7,4.95,12.9118,113.4,2.2937,0,7.5,8.8594,2.2937,0,8.8594,2.2937,0,7.5,8.8594,8.0972,8.1069,11.1175,2.0628,1.8747,3.96
A42133,1.1273,20.25,10.9145,10.9262,17.8894,2.9128,3.0521,2.7,4.95,16.8173,113.4,2.4873,0,7.5,8.8594,2.4873,0,8.8594,2.4873,0,7.5,8.8594,8.7316,8.7410,14.3115,2.3302,2.4417,3.96
A51001,0.8274,20.25,8.0215,8.0348,16.5639,2.9149,2.0591,2.7,4.95,11.3459,113.4,3.3607,0,7.5,8.8594,3.3607,0,8.8594,3.3607,0,7.5,8.8594,6.4172,6.4279,13.2511,2.3319,1.6473,3.96
A51003,0.7988,20.25,9.6782,9.6906,14.2420,3.2182,1.8387,2.7,4.95,10.1312,113.4,2.1029,0,7.5,8.8594,2.1029,0,8.8594,2.1029,0,7.5,8.8594,7.7426,7.7525,11.3936,2.5745,1.4710,3.96
A51005,0.6658,20.25,11.2494,11.2608,13.1161,2.5690,1.5922,2.7,4.95,8.7731,113.4,1.9709,0,7.5,8.8594,1.9709,0,8.8594,1.9709,0,7.5,8.8594,8.9995,9.0087,10.4929,2.0552,1.2738,3.96
A51007,0.8128,20.25,9.8896,9.9018,13.3366,4.1338,2.2933,2.7,4.95,12.6358,113.4,1.7872,0,7.5,8.8594,1.7872,0,8.8594,1.7872,0,7.5,8.8594,7.9116,7.9214,10.6693,3.3070,1.8346,3.96
A51009,0.7076,20.25,10.1686,10.1807,12.8272,3.2779,1.7991,2.7,4.95,9.9133,113.4,2.1111,0,7.5,8.8594,2.1111,0,8.8594,2.1111,0,7.5,8.8594,8.1349,8.1446,10.2618,2.6223,1.4393,3.96
A51011,0.7833,20.25,9.3732,9.3857,14.1814,3.2782,1.9215,2.7,4.95,10.5874,113.4,2.0565,0,7.5,8.8594,2.0565,0,8.8594,2.0565,0,7.5,8.8594,7.4986,7.5086,11.3451,2.6226,1.5372,3.96
A51013,1.2763,20.25,9.5639,9.5584,12.5870,3.6304,1.5540,2.7,4.95,8.5625,113.4,3.8025,0,7.5,8.8594,3.8025,0,8.8594,3.8025,0,7.5,8.8594,7.6511,7.6467,10.0696,2.9043,1.2432,3.96
A51015,0.8537,20.25,13.0444,13.0548,13.7743,3.8435,2.0044,2.7,4.95,11.0444,113.4,1.7914,0,7.5,8.8594,1.7914,0,8.8594,1.7914,0,7.5,8.8594,10.4355,10.4439,11.0194,3.0748,1.6035,3.96
A51017,0.6291,20.25,11.9856,11.9967,14.1312,3.2599,1.6657,2.7,4.95,9.1779,113.4,2.0452,0,7.5,8.8594,2.0452,0,8.8594,2.0452,0,7.5,8.8594,9.5885,9.5973,11.3049,2.6079,1.3326,3.96
A51019,0.7419,20.25,11.8120,11.8231,13.7821,3.3302,1.9029,2.7,4.95,10.4849,113.4,1.9890,0,7.5,8.8594,1.9890,0,8.8594,1.9890,0,7.5,8.8594,9.4496,9.4585,11.0257,2.6641,1.5223,3.96
A51023,0.6691,20.25,12.5552,12.5659,13.5221,3.2555,1.7984,2.7,4.95,9.9092,113.4,2.1636,0,7.5,8.8594,2.1636,0,8.8594,2.1636,0,7.5,8.8594,10.0442,10.0527,10.8177,2.6044,1.4387,3.96
A51029,0.7538,20.25,12.2156,12.2265,14.0885,3.5875,2.0278,2.7,4.95,11.1732,113.4,1.8913,0,7.5,8.8594,1.8913,0,8.8594,1.8913,0,7.5,8.8594,9.7725,9.7812,11.2708,2.8700,1.6222,3.96
A51031,0.7463,20.25,9.7741,9.7864,13.1186,3.0611,1.8897,2.7,4.95,10.4125,113.4,1.9178,0,7.5,8.8594,1.9178,0,8.8594,1.9178,0,7.5,8.8594,7.8192,7.8291,10.4949,2.4489,1.5118,3.96
A51033,0.9021,20.25,6.8891,6.9031,13.9360,3.0809,1.7947,2.7,4.95,9.8890,113.4,1.7765,0,7.5,8.8594,1.7765,0,8.8594,1.7765,0,7.5,8.8594,5.5113,5.5225,11.1488,2.4648,1.4358,3.96
